run_key,block,task,variant,seed,metric,score,mean_density,elapsed_sec,detail
backbone|cola|gat|s1,backbone,cola,gat,1,mcc,46.67,0.09815,259.65,gnn_type=gat
backbone|cola|gat|s2,backbone,cola,gat,2,mcc,45.29,0.10038,211.71,gnn_type=gat
backbone|cola|gat|s3,backbone,cola,gat,3,mcc,46.68,0.09991,243.71,gnn_type=gat
backbone|cola|gat|s4,backbone,cola,gat,4,mcc,43.58,0.09368,269.19,gnn_type=gat
backbone|cola|gat|s5,backbone,cola,gat,5,mcc,44.66,0.10247,244.87,gnn_type=gat
backbone|cola|gcn|s1,backbone,cola,gcn,1,mcc,44.02,0.10522,283.94,gnn_type=gcn
backbone|cola|gcn|s2,backbone,cola,gcn,2,mcc,43.43,0.09862,255.71,gnn_type=gcn
backbone|cola|gcn|s3,backbone,cola,gcn,3,mcc,48.32,0.10106,284.63,gnn_type=gcn
backbone|cola|gcn|s4,backbone,cola,gcn,4,mcc,44.11,0.09904,259.81,gnn_type=gcn
backbone|cola|gcn|s5,backbone,cola,gcn,5,mcc,45.82,0.09613,284.8,gnn_type=gcn
backbone|cola|gin|s1,backbone,cola,gin,1,mcc,46.96,0.10458,253.27,gnn_type=gin
backbone|cola|gin|s2,backbone,cola,gin,2,mcc,43.07,0.09709,235.46,gnn_type=gin
backbone|cola|gin|s3,backbone,cola,gin,3,mcc,43.88,0.10494,225.79,gnn_type=gin
backbone|cola|gin|s4,backbone,cola,gin,4,mcc,45.02,0.10298,260.88,gnn_type=gin
backbone|cola|gin|s5,backbone,cola,gin,5,mcc,45.37,0.10203,251.97,gnn_type=gin
backbone|stsb|gat|s1,backbone,stsb,gat,1,spearman,82.93,0.16278,1350.03,gnn_type=gat
backbone|stsb|gat|s2,backbone,stsb,gat,2,spearman,82.03,0.15794,1411.72,gnn_type=gat
backbone|stsb|gat|s3,backbone,stsb,gat,3,spearman,82.83,0.15244,1500.69,gnn_type=gat
backbone|stsb|gat|s4,backbone,stsb,gat,4,spearman,82.73,0.1597,1508.13,gnn_type=gat
backbone|stsb|gat|s5,backbone,stsb,gat,5,spearman,82.93,0.15243,1325.37,gnn_type=gat
backbone|stsb|gcn|s1,backbone,stsb,gcn,1,spearman,82.35,0.15742,1205.68,gnn_type=gcn
backbone|stsb|gcn|s2,backbone,stsb,gcn,2,spearman,82.55,0.15994,1012.08,gnn_type=gcn
backbone|stsb|gcn|s3,backbone,stsb,gcn,3,spearman,82.94,0.15115,942.91,gnn_type=gcn
backbone|stsb|gcn|s4,backbone,stsb,gcn,4,spearman,82.19,0.15707,875.74,gnn_type=gcn
backbone|stsb|gcn|s5,backbone,stsb,gcn,5,spearman,82.29,0.15258,880.48,gnn_type=gcn
backbone|stsb|gin|s1,backbone,stsb,gin,1,spearman,82.3,0.16411,1035.26,gnn_type=gin
backbone|stsb|gin|s2,backbone,stsb,gin,2,spearman,82.08,0.15573,908.1,gnn_type=gin
backbone|stsb|gin|s3,backbone,stsb,gin,3,spearman,82.35,0.16113,815.69,gnn_type=gin
backbone|stsb|gin|s4,backbone,stsb,gin,4,spearman,83.03,0.1542,926.81,gnn_type=gin
backbone|stsb|gin|s5,backbone,stsb,gin,5,spearman,82.57,0.1592,977.0,gnn_type=gin
recipe|stsb|e2_h128_t0.6|s42,recipe,stsb,e2_h128_t0.6,42,spearman,82.36,0.15642,993.94,epochs=2;scorer_hidden=128;tau=0.6
recipe|stsb|e2_h128_t0.8|s42,recipe,stsb,e2_h128_t0.8,42,spearman,82.33,0.0113,520.04,epochs=2;scorer_hidden=128;tau=0.8
