run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,feature_mode,graph_curvature,rho_quantile,curvature,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn,tau
glue|roberta-base|mrpc_wide|baseline|t0|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,0,42,f1,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=128;tau_quantile=0.05;weight_decay=0.0,256,cosine,cat,2e-05,2,512,128,0.05,0.0,81.22,112.92,0.05038,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t1|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,1,42,f1,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.2;weight_decay=5e-05,64,cosine,max,0.001,4,512,128,0.2,5e-05,82.26,102.37,0.1995,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t2|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,2,42,f1,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.2;weight_decay=1e-05,64,cosine,max,0.0002,2,128,128,0.2,1e-05,82.63,98.91,0.19958,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t3|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,3,42,f1,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=128;tau_quantile=0.2;weight_decay=5e-05,128,cosine,cat,2e-05,2,512,128,0.2,5e-05,81.22,99.72,0.19944,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t4|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,4,42,f1,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.05;weight_decay=5e-05,128,cosine,max,0.0002,4,128,256,0.05,5e-05,82.23,101.36,0.05032,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t5|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,5,42,f1,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.38;weight_decay=5e-05,256,cosine,cat,2e-05,2,512,256,0.38,5e-05,81.22,99.46,0.37961,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t6|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,6,42,f1,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.2;weight_decay=0.0,128,cosine,cat,2e-05,4,128,256,0.2,0.0,81.34,100.99,0.1995,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t7|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,7,42,f1,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=128;scorer_hidden=256;tau_quantile=0.1;weight_decay=1e-05,256,cosine,cat,2e-05,2,128,256,0.1,1e-05,81.22,98.56,0.10005,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t8|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,8,42,f1,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.025;weight_decay=1e-05,128,cosine,max,2e-05,4,256,128,0.025,1e-05,81.22,101.73,0.02513,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t9|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,9,42,f1,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.025;weight_decay=0.0,64,cosine,max,0.0002,2,128,128,0.025,0.0,82.76,100.18,0.02518,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t10|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,10,42,f1,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.025;weight_decay=0.0,128,cosine,cat,2e-05,2,128,128,0.025,0.0,81.22,98.97,0.02511,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t11|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,11,42,f1,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.2;weight_decay=1e-05,64,cosine,max,0.0002,2,512,256,0.2,1e-05,82.63,98.36,0.19958,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t12|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,12,42,f1,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=256;tau_quantile=0.05;weight_decay=0.0,64,cosine,cat,0.0002,2,128,256,0.05,0.0,81.72,99.6,0.05029,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t13|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,13,42,f1,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.025;weight_decay=0.0,256,cosine,cat,2e-05,4,256,128,0.025,0.0,81.59,100.94,0.02516,0.0,,,,,,,,,,,,,
glue|roberta-base|mrpc_wide|baseline|t14|s42|tune,glue,roberta-base,mrpc_wide,mrpc,baseline,tune,14,42,f1,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.05;weight_decay=5e-05,64,cosine,max,0.001,4,128,256,0.05,5e-05,82.46,101.05,0.05035,0.0,,,,,,,,,,,,,
