run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,graph_metric,jk_mode,lr,scorer_hidden,weight_decay,gat_hidden_dim,num_layers,proj_dim,tau_quantile,curvature,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn,score,elapsed_sec,mean_density,empty_frac
glue|bert-base-uncased|cola_wide|C_at_base|t900|s1|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,1,mcc,curvature=4.0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,256,4,128,0.1,4.0,0.7,1,gat,1,45.32,156.68,0.10008,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s2|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,2,mcc,curvature=4.0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,256,4,128,0.1,4.0,0.7,1,gat,1,45.15,157.69,0.10085,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s3|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,3,mcc,curvature=4.0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,256,4,128,0.1,4.0,0.7,1,gat,1,45.44,155.03,0.09966,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s4|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,4,mcc,curvature=4.0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,256,4,128,0.1,4.0,0.7,1,gat,1,45.4,155.19,0.10007,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s5|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,5,mcc,curvature=4.0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,256,4,128,0.1,4.0,0.7,1,gat,1,45.89,156.01,0.09976,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s6|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,6,mcc,curvature=4.0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,256,4,128,0.1,4.0,0.7,1,gat,1,45.73,154.84,0.09934,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s7|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,7,mcc,curvature=4.0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,256,4,128,0.1,4.0,0.7,1,gat,1,47.16,157.23,0.09954,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s8|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,8,mcc,curvature=4.0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,256,4,128,0.1,4.0,0.7,1,gat,1,44.9,156.87,0.0999,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s9|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,9,mcc,curvature=4.0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,256,4,128,0.1,4.0,0.7,1,gat,1,44.41,155.84,0.10025,0.0
glue|bert-base-uncased|cola_wide|C_at_base|t900|s10|confirm,glue,bert-base-uncased,cola_wide,cola,C_at_base,confirm,900,10,mcc,curvature=4.0;gat_hidden_dim=256;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,cosine,max,0.001,128,5e-05,256,4,128,0.1,4.0,0.7,1,gat,1,46.74,153.6,0.09961,0.0
