timestamp,run_tag,model,task,mteb_task,arm,pooling,graph_metric,graph_adj,hyperbolic_gnn,hyperbolic_readout,gnn_type,num_layers,jk_mode,tau,rho,curvature,knn_k,feature_norm,gat_hidden_dim,scorer_hidden,proj_dim,epochs,batch_size,lr,weight_decay,max_length,seed,elapsed_sec,acc,acc_final,mcc,mcc_final,f1,f1_final,acc_mm,f1_mm,spearman,spearman_final,pearson,pearson_final,best_val_avg,mteb_score,best_loss,mteb_per_task
2026-07-04 23:14:42,hyperglot,bert-base-uncased,imdb,,baseline,glot,cosine,threshold,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,512,42,14668.07,0.92264,0.92264,0.84548,0.84548,,,,,,,,,,,,
2026-07-05 03:00:28,hyperglot,bert-base-uncased,imdb,,A_threshold,glot,poincare,threshold,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,512,42,13523.13,0.92504,0.92504,0.850391,0.850391,,,,,,,,,,,,
2026-07-05 06:47:08,hyperglot,bert-base-uncased,imdb,,A_knn,glot,poincare,knn,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,512,42,13577.21,0.92456,0.92456,0.849169,0.849169,,,,,,,,,,,,
2026-07-05 06:48:23,hyperglot,bert-base-uncased,mteb,Banking77Classification,baseline,glot,cosine,threshold,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,52.56,,,,,,,,,,,,,,0.469091,,"{""Banking77Classification"": 0.46909090909090906}"
2026-07-05 06:49:40,hyperglot,bert-base-uncased,mteb,Banking77Classification,A_threshold,glot,poincare,threshold,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,64.87,,,,,,,,,,,,,,0.468994,,"{""Banking77Classification"": 0.46899350649350646}"
2026-07-05 06:51:01,hyperglot,bert-base-uncased,mteb,Banking77Classification,A_knn,glot,poincare,knn,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,67.99,,,,,,,,,,,,,,0.469123,,"{""Banking77Classification"": 0.46912337662337666}"
2026-07-05 06:51:25,hyperglot,bert-base-uncased,mteb,STS12,baseline,glot,cosine,threshold,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,11.17,,,,,,,,,,,,,,0.300218,,"{""STS12"": 0.30021829807467354}"
2026-07-05 06:51:56,hyperglot,bert-base-uncased,mteb,STS12,A_threshold,glot,poincare,threshold,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,19.44,,,,,,,,,,,,,,0.300403,,"{""STS12"": 0.30040307289386525}"
2026-07-05 06:52:28,hyperglot,bert-base-uncased,mteb,STS12,A_knn,glot,poincare,knn,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,20.88,,,,,,,,,,,,,,0.276778,,"{""STS12"": 0.2767780467912429}"
2026-07-05 06:52:47,hyperglot,bert-base-uncased,mteb,STS13,baseline,glot,cosine,threshold,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,6.99,,,,,,,,,,,,,,0.595663,,"{""STS13"": 0.595663171971006}"
2026-07-05 06:53:10,hyperglot,bert-base-uncased,mteb,STS13,A_threshold,glot,poincare,threshold,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,11.56,,,,,,,,,,,,,,0.596006,,"{""STS13"": 0.5960056218120192}"
2026-07-05 06:53:34,hyperglot,bert-base-uncased,mteb,STS13,A_knn,glot,poincare,knn,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,12.59,,,,,,,,,,,,,,0.598268,,"{""STS13"": 0.5982675809081506}"
2026-07-05 06:55:02,hyperglot,bert-base-uncased,mteb,SciFact,baseline,glot,cosine,threshold,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,77.06,,,,,,,,,,,,,,0.13932,,"{""SciFact"": 0.13932}"
2026-07-05 06:56:20,hyperglot,bert-base-uncased,mteb,SciFact,A_threshold,glot,poincare,threshold,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,66.37,,,,,,,,,,,,,,0.14095,,"{""SciFact"": 0.14095}"
2026-07-05 06:57:41,hyperglot,bert-base-uncased,mteb,SciFact,A_knn,glot,poincare,knn,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,69.66,,,,,,,,,,,,,,0.13387,,"{""SciFact"": 0.13387}"
2026-07-05 06:59:21,hyperglot,bert-base-uncased,mteb,ArguAna,baseline,glot,cosine,threshold,0,0,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,87.56,,,,,,,,,,,,,,0.28245,,"{""ArguAna"": 0.28245}"
