timestamp,run_tag,model,task,arm,pooling,graph_metric,graph_adj,hyperbolic_gnn,hyperbolic_readout,distractor_ratio,relational_distance,signal_position,tau,rho,curvature,knn_k,num_layers,epochs,batch_size,lr,seed,acc
2026-07-04 16:00:06,hyperglot,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.966
2026-07-04 16:01:07,hyperglot,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.898
2026-07-04 16:02:19,hyperglot,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.83
2026-07-04 16:03:39,hyperglot,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.896
2026-07-04 16:04:45,hyperglot,bert-base-uncased,stress,A_threshold,glot,poincare,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.976
2026-07-04 16:05:54,hyperglot,bert-base-uncased,stress,A_threshold,glot,poincare,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.93
2026-07-04 16:07:08,hyperglot,bert-base-uncased,stress,A_threshold,glot,poincare,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.886
2026-07-04 16:08:24,hyperglot,bert-base-uncased,stress,A_threshold,glot,poincare,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.952
2026-07-04 16:09:33,hyperglot,bert-base-uncased,stress,A_knn,glot,poincare,knn,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.984
2026-07-04 16:10:43,hyperglot,bert-base-uncased,stress,A_knn,glot,poincare,knn,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.908
2026-07-04 16:11:59,hyperglot,bert-base-uncased,stress,A_knn,glot,poincare,knn,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.86
2026-07-04 16:13:23,hyperglot,bert-base-uncased,stress,A_knn,glot,poincare,knn,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.938
2026-07-04 16:14:40,hyperglot,bert-base-uncased,stress,ACgatfix_threshold,glot,poincare,threshold,1,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.962
2026-07-04 16:15:57,hyperglot,bert-base-uncased,stress,ACgatfix_threshold,glot,poincare,threshold,1,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.858
2026-07-04 16:17:24,hyperglot,bert-base-uncased,stress,ACgatfix_threshold,glot,poincare,threshold,1,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.854
2026-07-04 16:18:54,hyperglot,bert-base-uncased,stress,ACgatfix_threshold,glot,poincare,threshold,1,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.826
2026-07-04 16:20:17,hyperglot,bert-base-uncased,stress,ACgatfix_knn,glot,poincare,knn,1,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.944
2026-07-04 16:21:40,hyperglot,bert-base-uncased,stress,ACgatfix_knn,glot,poincare,knn,1,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.852
2026-07-04 16:23:09,hyperglot,bert-base-uncased,stress,ACgatfix_knn,glot,poincare,knn,1,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.854
2026-07-04 16:24:41,hyperglot,bert-base-uncased,stress,ACgatfix_knn,glot,poincare,knn,1,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.824
2026-07-04 16:25:50,hyperglot,bert-base-uncased,stress,ABfix2_threshold,glot,poincare,threshold,0,1,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.962
2026-07-04 16:27:01,hyperglot,bert-base-uncased,stress,ABfix2_threshold,glot,poincare,threshold,0,1,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.912
2026-07-04 16:28:19,hyperglot,bert-base-uncased,stress,ABfix2_threshold,glot,poincare,threshold,0,1,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.756
2026-07-04 16:29:40,hyperglot,bert-base-uncased,stress,ABfix2_threshold,glot,poincare,threshold,0,1,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.872
2026-07-04 16:30:55,hyperglot,bert-base-uncased,stress,ABfix2_knn,glot,poincare,knn,0,1,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.98
2026-07-04 16:32:09,hyperglot,bert-base-uncased,stress,ABfix2_knn,glot,poincare,knn,0,1,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.864
2026-07-04 16:33:29,hyperglot,bert-base-uncased,stress,ABfix2_knn,glot,poincare,knn,0,1,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.65
2026-07-04 16:34:52,hyperglot,bert-base-uncased,stress,ABfix2_knn,glot,poincare,knn,0,1,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,42,0.882
