run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,curvature,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|bert-base-uncased|seedext_sst2|baseline|t0|s1|confirm,glue,bert-base-uncased,seedext_sst2,sst2,baseline,confirm,0,1,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,max,0.001,4,128,128,0.1,5e-05,90.14,1358.09,0.10247,0.02344,,,,,,,,,
glue|bert-base-uncased|seedext_sst2|baseline|t0|s2|confirm,glue,bert-base-uncased,seedext_sst2,sst2,baseline,confirm,0,2,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,max,0.001,4,128,128,0.1,5e-05,88.99,778.94,0.1022,0.01172,,,,,,,,,
glue|bert-base-uncased|seedext_sst2|baseline|t0|s3|confirm,glue,bert-base-uncased,seedext_sst2,sst2,baseline,confirm,0,3,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,max,0.001,4,128,128,0.1,5e-05,89.33,782.48,0.1006,0.01953,,,,,,,,,
glue|bert-base-uncased|seedext_sst2|baseline|t0|s4|confirm,glue,bert-base-uncased,seedext_sst2,sst2,baseline,confirm,0,4,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,max,0.001,4,128,128,0.1,5e-05,90.14,788.82,0.09954,0.02344,,,,,,,,,
glue|bert-base-uncased|seedext_sst2|baseline|t0|s5|confirm,glue,bert-base-uncased,seedext_sst2,sst2,baseline,confirm,0,5,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,max,0.001,4,128,128,0.1,5e-05,89.33,779.84,0.09916,0.01953,,,,,,,,,
glue|bert-base-uncased|seedext_sst2|baseline|t0|s6|confirm,glue,bert-base-uncased,seedext_sst2,sst2,baseline,confirm,0,6,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,max,0.001,4,128,128,0.1,5e-05,89.11,784.09,0.10164,0.01562,,,,,,,,,
glue|bert-base-uncased|seedext_sst2|baseline|t0|s7|confirm,glue,bert-base-uncased,seedext_sst2,sst2,baseline,confirm,0,7,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,max,0.001,4,128,128,0.1,5e-05,90.25,778.41,0.10262,0.01172,,,,,,,,,
glue|bert-base-uncased|seedext_sst2|baseline|t0|s8|confirm,glue,bert-base-uncased,seedext_sst2,sst2,baseline,confirm,0,8,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,max,0.001,4,128,128,0.1,5e-05,90.14,782.62,0.10124,0.02344,,,,,,,,,
glue|bert-base-uncased|seedext_sst2|baseline|t0|s9|confirm,glue,bert-base-uncased,seedext_sst2,sst2,baseline,confirm,0,9,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,max,0.001,4,128,128,0.1,5e-05,89.56,776.95,0.09981,0.01562,,,,,,,,,
glue|bert-base-uncased|seedext_sst2|baseline|t0|s10|confirm,glue,bert-base-uncased,seedext_sst2,sst2,baseline,confirm,0,10,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,max,0.001,4,128,128,0.1,5e-05,89.56,776.22,0.104,0.01172,,,,,,,,,
