run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,feature_mode,graph_curvature,rho_quantile,tau,curvature,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|roberta-base|cola_wide|A|t12|s1|confirm,glue,roberta-base,cola_wide,cola,A,confirm,12,1,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,0.001,2,512,128,,0.0,54.88,146.51,0.37391,0.0,center_unit,0.25,0.38,,,,,,,,,,
glue|roberta-base|cola_wide|A|t12|s2|confirm,glue,roberta-base,cola_wide,cola,A,confirm,12,2,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,0.001,2,512,128,,0.0,53.16,145.85,0.37332,0.0,center_unit,0.25,0.38,,,,,,,,,,
glue|roberta-base|cola_wide|A|t12|s3|confirm,glue,roberta-base,cola_wide,cola,A,confirm,12,3,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,0.001,2,512,128,,0.0,55.6,145.98,0.37523,0.0,center_unit,0.25,0.38,,,,,,,,,,
glue|roberta-base|cola_wide|A|t12|s4|confirm,glue,roberta-base,cola_wide,cola,A,confirm,12,4,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,0.001,2,512,128,,0.0,54.36,145.68,0.37409,0.0,center_unit,0.25,0.38,,,,,,,,,,
glue|roberta-base|cola_wide|A|t12|s5|confirm,glue,roberta-base,cola_wide,cola,A,confirm,12,5,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,0.001,2,512,128,,0.0,53.68,145.85,0.3751,0.0,center_unit,0.25,0.38,,,,,,,,,,
glue|roberta-base|cola_wide|A|t12|s6|confirm,glue,roberta-base,cola_wide,cola,A,confirm,12,6,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,0.001,2,512,128,,0.0,53.53,146.81,0.37477,0.0,center_unit,0.25,0.38,,,,,,,,,,
glue|roberta-base|cola_wide|A|t12|s7|confirm,glue,roberta-base,cola_wide,cola,A,confirm,12,7,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,0.001,2,512,128,,0.0,54.85,147.28,0.3737,0.0,center_unit,0.25,0.38,,,,,,,,,,
glue|roberta-base|cola_wide|A|t12|s8|confirm,glue,roberta-base,cola_wide,cola,A,confirm,12,8,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,0.001,2,512,128,,0.0,54.74,147.42,0.37438,0.0,center_unit,0.25,0.38,,,,,,,,,,
glue|roberta-base|cola_wide|A|t12|s9|confirm,glue,roberta-base,cola_wide,cola,A,confirm,12,9,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,0.001,2,512,128,,0.0,53.49,147.48,0.37459,0.0,center_unit,0.25,0.38,,,,,,,,,,
glue|roberta-base|cola_wide|A|t12|s10|confirm,glue,roberta-base,cola_wide,cola,A,confirm,12,10,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,0.001,2,512,128,,0.0,54.81,146.28,0.37366,0.0,center_unit,0.25,0.38,,,,,,,,,,
