run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,feature_mode,graph_curvature,rho_quantile,tau,curvature,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|roberta-base|stsb_wide|A|t3|s1|confirm,glue,roberta-base,stsb_wide,stsb,A,confirm,3,1,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,64,poincare,cat,0.0002,2,512,256,,1e-05,83.92,227.26,0.19563,0.0,center_unit,9.0,0.2,,,,,,,,,,
glue|roberta-base|stsb_wide|A|t3|s2|confirm,glue,roberta-base,stsb_wide,stsb,A,confirm,3,2,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,64,poincare,cat,0.0002,2,512,256,,1e-05,83.78,225.94,0.19544,0.0,center_unit,9.0,0.2,,,,,,,,,,
glue|roberta-base|stsb_wide|A|t3|s3|confirm,glue,roberta-base,stsb_wide,stsb,A,confirm,3,3,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,64,poincare,cat,0.0002,2,512,256,,1e-05,83.31,227.28,0.1954,0.0,center_unit,9.0,0.2,,,,,,,,,,
glue|roberta-base|stsb_wide|A|t3|s4|confirm,glue,roberta-base,stsb_wide,stsb,A,confirm,3,4,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,64,poincare,cat,0.0002,2,512,256,,1e-05,84.04,222.46,0.19497,0.0,center_unit,9.0,0.2,,,,,,,,,,
glue|roberta-base|stsb_wide|A|t3|s5|confirm,glue,roberta-base,stsb_wide,stsb,A,confirm,3,5,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,64,poincare,cat,0.0002,2,512,256,,1e-05,84.26,225.76,0.19569,0.0,center_unit,9.0,0.2,,,,,,,,,,
glue|roberta-base|stsb_wide|A|t3|s6|confirm,glue,roberta-base,stsb_wide,stsb,A,confirm,3,6,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,64,poincare,cat,0.0002,2,512,256,,1e-05,83.76,221.72,0.19532,0.0,center_unit,9.0,0.2,,,,,,,,,,
glue|roberta-base|stsb_wide|A|t3|s7|confirm,glue,roberta-base,stsb_wide,stsb,A,confirm,3,7,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,64,poincare,cat,0.0002,2,512,256,,1e-05,83.8,225.36,0.19572,0.0,center_unit,9.0,0.2,,,,,,,,,,
glue|roberta-base|stsb_wide|A|t3|s8|confirm,glue,roberta-base,stsb_wide,stsb,A,confirm,3,8,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,64,poincare,cat,0.0002,2,512,256,,1e-05,84.17,223.22,0.19533,0.0,center_unit,9.0,0.2,,,,,,,,,,
glue|roberta-base|stsb_wide|A|t3|s9|confirm,glue,roberta-base,stsb_wide,stsb,A,confirm,3,9,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,64,poincare,cat,0.0002,2,512,256,,1e-05,84.28,225.1,0.19498,0.0,center_unit,9.0,0.2,,,,,,,,,,
glue|roberta-base|stsb_wide|A|t3|s10|confirm,glue,roberta-base,stsb_wide,stsb,A,confirm,3,10,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,64,poincare,cat,0.0002,2,512,256,,1e-05,83.89,222.93,0.19574,0.0,center_unit,9.0,0.2,,,,,,,,,,
