run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,graph_metric,tau_quantile,score,elapsed_sec,mean_density,empty_frac,tau
glue|bert-base-uncased|cola_L8|baseline|t0|s42|tune,glue,bert-base-uncased,cola_L8,cola,baseline,tune,0,42,mcc,graph_metric=cosine;tau_quantile=0.1,cosine,0.1,45.14,140.5,0.2125,0.0,
glue|bert-base-uncased|cola_L8|baseline|t1|s42|tune,glue,bert-base-uncased,cola_L8,cola,baseline,tune,1,42,mcc,graph_metric=cosine;tau_quantile=0.2,cosine,0.2,45.64,113.32,0.30841,0.0,
glue|bert-base-uncased|cola_L8|baseline|t2|s42|tune,glue,bert-base-uncased,cola_L8,cola,baseline,tune,2,42,mcc,graph_metric=cosine;tau_quantile=0.05,cosine,0.05,46.51,113.22,0.16155,0.0,
glue|bert-base-uncased|cola_L8|baseline|t3|s42|tune,glue,bert-base-uncased,cola_L8,cola,baseline,tune,3,42,mcc,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,48.51,113.62,0.1397,0.0,
glue|bert-base-uncased|cola_L8|baseline|t4|s42|tune,glue,bert-base-uncased,cola_L8,cola,baseline,tune,4,42,mcc,graph_metric=cosine;tau_quantile=0.38,cosine,0.38,45.53,113.87,0.48861,0.0,
glue|bert-base-uncased|cola_L8|no_graph|t0|s42|tune,glue,bert-base-uncased,cola_L8,cola,no_graph,tune,0,42,mcc,graph_metric=cosine;tau=0.999,cosine,,46.02,108.6,0.11264,0.0,0.999
glue|bert-base-uncased|cola_L8|A|t0|s42|tune,glue,bert-base-uncased,cola_L8,cola,A,tune,0,42,mcc,feature_mode=unit;graph_curvature=0.25;graph_metric=poincare;rho_quantile=0.025,poincare,,46.23,137.99,0.13909,0.0,
glue|bert-base-uncased|cola_L8|A|t1|s42|tune,glue,bert-base-uncased,cola_L8,cola,A,tune,1,42,mcc,feature_mode=cls_root_unit;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.1,poincare,,45.19,140.03,0.21165,0.0,
glue|bert-base-uncased|cola_L8|A|t2|s42|tune,glue,bert-base-uncased,cola_L8,cola,A,tune,2,42,mcc,feature_mode=unit;graph_curvature=1.0;graph_metric=poincare;rho_quantile=0.025,poincare,,46.1,139.13,0.13909,0.0,
glue|bert-base-uncased|cola_L8|A|t3|s42|tune,glue,bert-base-uncased,cola_L8,cola,A,tune,3,42,mcc,feature_mode=center_unit;graph_curvature=4.0;graph_metric=poincare;rho_quantile=0.38,poincare,,48.13,140.23,0.48762,0.0,
glue|bert-base-uncased|cola_L8|A|t4|s42|tune,glue,bert-base-uncased,cola_L8,cola,A,tune,4,42,mcc,feature_mode=center;graph_curvature=0.25;graph_metric=poincare;rho_quantile=0.38,poincare,,45.55,138.16,0.48531,0.0,
glue|bert-base-uncased|cola_L8|A|t5|s42|tune,glue,bert-base-uncased,cola_L8,cola,A,tune,5,42,mcc,feature_mode=center_unit;graph_curvature=0.25;graph_metric=poincare;rho_quantile=0.38,poincare,,48.06,140.17,0.48762,0.0,
glue|bert-base-uncased|cola_L8|A|t6|s42|tune,glue,bert-base-uncased,cola_L8,cola,A,tune,6,42,mcc,feature_mode=unit;graph_curvature=9.0;graph_metric=poincare;rho_quantile=0.2,poincare,,50.09,139.38,0.30749,0.0,
glue|bert-base-uncased|cola_L8|A|t7|s42|tune,glue,bert-base-uncased,cola_L8,cola,A,tune,7,42,mcc,feature_mode=center_unit;graph_curvature=0.25;graph_metric=poincare;rho_quantile=0.05,poincare,,46.92,139.3,0.16078,0.0,
glue|bert-base-uncased|cola_L8|A|t8|s42|tune,glue,bert-base-uncased,cola_L8,cola,A,tune,8,42,mcc,feature_mode=center;graph_curvature=0.25;graph_metric=poincare;rho_quantile=0.1,poincare,,46.05,138.89,0.21148,0.0,
