run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,graph_metric,tau_quantile,score,elapsed_sec,mean_density,empty_frac,tau,feature_mode,graph_curvature,rho_quantile
glue|bert-base-uncased|mrpc_L12|baseline|t0|s42|tune,glue,bert-base-uncased,mrpc_L12,mrpc,baseline,tune,0,42,f1,graph_metric=cosine;tau_quantile=0.28,cosine,0.28,81.22,95.21,0.32071,0.0,,,,
glue|bert-base-uncased|mrpc_L12|baseline|t1|s42|tune,glue,bert-base-uncased,mrpc_L12,mrpc,baseline,tune,1,42,f1,graph_metric=cosine;tau_quantile=0.2,cosine,0.2,81.94,97.01,0.24026,0.0,,,,
glue|bert-base-uncased|mrpc_L12|baseline|t2|s42|tune,glue,bert-base-uncased,mrpc_L12,mrpc,baseline,tune,2,42,f1,graph_metric=cosine;tau_quantile=0.0125,cosine,0.0125,81.69,96.45,0.0532,0.0,,,,
glue|bert-base-uncased|mrpc_L12|baseline|t3|s42|tune,glue,bert-base-uncased,mrpc_L12,mrpc,baseline,tune,3,42,f1,graph_metric=cosine;tau_quantile=0.075,cosine,0.075,81.52,96.21,0.11577,0.0,,,,
glue|bert-base-uncased|mrpc_L12|baseline|t4|s42|tune,glue,bert-base-uncased,mrpc_L12,mrpc,baseline,tune,4,42,f1,graph_metric=cosine;tau_quantile=0.0375,cosine,0.0375,81.69,96.24,0.07791,0.0,,,,
glue|bert-base-uncased|mrpc_L12|baseline|t5|s42|tune,glue,bert-base-uncased,mrpc_L12,mrpc,baseline,tune,5,42,f1,graph_metric=cosine;tau_quantile=0.1,cosine,0.1,81.64,95.92,0.1406,0.0,,,,
glue|bert-base-uncased|mrpc_L12|baseline|t6|s42|tune,glue,bert-base-uncased,mrpc_L12,mrpc,baseline,tune,6,42,f1,graph_metric=cosine;tau_quantile=0.38,cosine,0.38,81.4,95.72,0.42036,0.0,,,,
glue|bert-base-uncased|mrpc_L12|baseline|t7|s42|tune,glue,bert-base-uncased,mrpc_L12,mrpc,baseline,tune,7,42,f1,graph_metric=cosine;tau_quantile=0.05,cosine,0.05,81.69,96.07,0.09107,0.0,,,,
glue|bert-base-uncased|mrpc_L12|baseline|t8|s42|tune,glue,bert-base-uncased,mrpc_L12,mrpc,baseline,tune,8,42,f1,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,81.69,94.54,0.06571,0.0,,,,
glue|bert-base-uncased|mrpc_L12|baseline|t9|s42|tune,glue,bert-base-uncased,mrpc_L12,mrpc,baseline,tune,9,42,f1,graph_metric=cosine;tau_quantile=0.15,cosine,0.15,81.52,95.89,0.1909,0.0,,,,
