run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,graph_metric,tau_quantile,score,elapsed_sec,mean_density,empty_frac,tau
glue|bert-base-uncased|rte_L12|baseline|t0|s42|tune,glue,bert-base-uncased,rte_L12,rte,baseline,tune,0,42,acc,graph_metric=cosine;tau_quantile=0.0375,cosine,0.0375,54.87,71.39,0.08795,0.0,
glue|bert-base-uncased|rte_L12|baseline|t1|s42|tune,glue,bert-base-uncased,rte_L12,rte,baseline,tune,1,42,acc,graph_metric=cosine;tau_quantile=0.2,cosine,0.2,55.96,70.98,0.24949,0.0,
glue|bert-base-uncased|rte_L12|baseline|t2|s42|tune,glue,bert-base-uncased,rte_L12,rte,baseline,tune,2,42,acc,graph_metric=cosine;tau_quantile=0.0125,cosine,0.0125,56.32,71.14,0.06357,0.0,
glue|bert-base-uncased|rte_L12|baseline|t3|s42|tune,glue,bert-base-uncased,rte_L12,rte,baseline,tune,3,42,acc,graph_metric=cosine;tau_quantile=0.1,cosine,0.1,55.6,71.77,0.15023,0.0,
glue|bert-base-uncased|rte_L12|baseline|t4|s42|tune,glue,bert-base-uncased,rte_L12,rte,baseline,tune,4,42,acc,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,57.04,70.38,0.07552,0.0,
glue|bert-base-uncased|rte_L12|baseline|t5|s42|tune,glue,bert-base-uncased,rte_L12,rte,baseline,tune,5,42,acc,graph_metric=cosine;tau_quantile=0.38,cosine,0.38,54.51,70.58,0.42916,0.0,
glue|bert-base-uncased|rte_L12|baseline|t6|s42|tune,glue,bert-base-uncased,rte_L12,rte,baseline,tune,6,42,acc,graph_metric=cosine;tau_quantile=0.075,cosine,0.075,55.23,70.33,0.12546,0.0,
glue|bert-base-uncased|rte_L12|baseline|t7|s42|tune,glue,bert-base-uncased,rte_L12,rte,baseline,tune,7,42,acc,graph_metric=cosine;tau_quantile=0.28,cosine,0.28,54.87,71.05,0.32925,0.0,
glue|bert-base-uncased|rte_L12|baseline|t8|s42|tune,glue,bert-base-uncased,rte_L12,rte,baseline,tune,8,42,acc,graph_metric=cosine;tau_quantile=0.15,cosine,0.15,55.96,70.46,0.20064,0.0,
glue|bert-base-uncased|rte_L12|baseline|t9|s42|tune,glue,bert-base-uncased,rte_L12,rte,baseline,tune,9,42,acc,graph_metric=cosine;tau_quantile=0.05,cosine,0.05,55.23,70.27,0.10057,0.0,
glue|bert-base-uncased|rte_L12|no_graph|t0|s42|tune,glue,bert-base-uncased,rte_L12,rte,no_graph,tune,0,42,acc,graph_metric=cosine;tau=0.999,cosine,,56.68,66.17,0.05065,0.0,0.999
glue|bert-base-uncased|rte_L12|A|t0|s42|tune,glue,bert-base-uncased,rte_L12,rte,A,tune,0,42,acc,feature_mode=center;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.2,poincare,,53.79,84.62,0.24811,0.0,
glue|bert-base-uncased|rte_L12|A|t1|s42|tune,glue,bert-base-uncased,rte_L12,rte,A,tune,1,42,acc,feature_mode=center;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.38,poincare,,55.23,84.93,0.42605,0.0,
glue|bert-base-uncased|rte_L12|A|t2|s42|tune,glue,bert-base-uncased,rte_L12,rte,A,tune,2,42,acc,feature_mode=center_unit;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.025,poincare,,55.6,85.33,0.07531,0.0,
