run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,graph_metric,tau_quantile,score,elapsed_sec,mean_density,empty_frac,tau,feature_mode,graph_curvature,rho_quantile
glue|bert-base-uncased|stsb_L12|baseline|t0|s42|tune,glue,bert-base-uncased,stsb_L12,stsb,baseline,tune,0,42,spearman,graph_metric=cosine;tau_quantile=0.1,cosine,0.1,82.48,168.45,0.20276,0.0,,,,
glue|bert-base-uncased|stsb_L12|baseline|t1|s42|tune,glue,bert-base-uncased,stsb_L12,stsb,baseline,tune,1,42,spearman,graph_metric=cosine;tau_quantile=0.0125,cosine,0.0125,82.28,168.44,0.11191,0.0,,,,
glue|bert-base-uncased|stsb_L12|baseline|t2|s42|tune,glue,bert-base-uncased,stsb_L12,stsb,baseline,tune,2,42,spearman,graph_metric=cosine;tau_quantile=0.38,cosine,0.38,82.6,173.16,0.4746,0.0,,,,
glue|bert-base-uncased|stsb_L12|baseline|t3|s42|tune,glue,bert-base-uncased,stsb_L12,stsb,baseline,tune,3,42,spearman,graph_metric=cosine;tau_quantile=0.28,cosine,0.28,82.62,173.11,0.37889,0.0,,,,
glue|bert-base-uncased|stsb_L12|baseline|t4|s42|tune,glue,bert-base-uncased,stsb_L12,stsb,baseline,tune,4,42,spearman,graph_metric=cosine;tau_quantile=0.05,cosine,0.05,82.29,171.92,0.15031,0.0,,,,
glue|bert-base-uncased|stsb_L12|baseline|t5|s42|tune,glue,bert-base-uncased,stsb_L12,stsb,baseline,tune,5,42,spearman,graph_metric=cosine;tau_quantile=0.2,cosine,0.2,82.67,171.36,0.29636,0.0,,,,
glue|bert-base-uncased|stsb_L12|baseline|t6|s42|tune,glue,bert-base-uncased,stsb_L12,stsb,baseline,tune,6,42,spearman,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,82.28,170.62,0.12854,0.0,,,,
glue|bert-base-uncased|stsb_L12|baseline|t7|s42|tune,glue,bert-base-uncased,stsb_L12,stsb,baseline,tune,7,42,spearman,graph_metric=cosine;tau_quantile=0.075,cosine,0.075,82.28,172.44,0.17764,0.0,,,,
glue|bert-base-uncased|stsb_L12|baseline|t8|s42|tune,glue,bert-base-uncased,stsb_L12,stsb,baseline,tune,8,42,spearman,graph_metric=cosine;tau_quantile=0.15,cosine,0.15,82.61,172.04,0.24931,0.0,,,,
glue|bert-base-uncased|stsb_L12|baseline|t9|s42|tune,glue,bert-base-uncased,stsb_L12,stsb,baseline,tune,9,42,spearman,graph_metric=cosine;tau_quantile=0.0375,cosine,0.0375,82.29,169.82,0.13719,0.0,,,,
