run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,feature_mode,graph_curvature,rho_quantile,tau
glue|roberta-base|cola_wide|baseline|t0|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,0,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.075;weight_decay=0.0,128,cosine,max,0.001,2,128,128,0.075,0.0,54.34,120.43,0.07708,0.0,,,,
glue|roberta-base|cola_wide|baseline|t1|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,1,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.1;weight_decay=0.0,256,cosine,max,0.0002,4,256,256,0.1,0.0,48.62,123.29,0.10108,0.0,,,,
glue|roberta-base|cola_wide|baseline|t2|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,2,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=256;scorer_hidden=256;tau_quantile=0.0125;weight_decay=1e-05,128,cosine,cat,0.0002,2,256,256,0.0125,1e-05,53.88,120.21,0.01496,0.10938,,,,
glue|roberta-base|cola_wide|baseline|t3|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,3,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=256;tau_quantile=0.0375;weight_decay=1e-05,256,cosine,cat,0.001,2,256,256,0.0375,1e-05,55.04,119.67,0.03913,0.0,,,,
glue|roberta-base|cola_wide|baseline|t4|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,4,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.38;weight_decay=0.0,128,cosine,max,0.0002,4,256,256,0.38,0.0,51.74,121.69,0.3769,0.0,,,,
glue|roberta-base|cola_wide|baseline|t5|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,5,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.075;weight_decay=5e-05,256,cosine,max,0.0002,2,512,256,0.075,5e-05,51.21,119.41,0.07661,0.0,,,,
glue|roberta-base|cola_wide|baseline|t6|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,6,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.075;weight_decay=5e-05,128,cosine,max,0.001,4,128,256,0.075,5e-05,53.76,121.9,0.07676,0.00391,,,,
glue|roberta-base|cola_wide|baseline|t7|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,7,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=128;tau_quantile=0.0125;weight_decay=5e-05,128,cosine,cat,0.001,2,512,128,0.0125,5e-05,52.68,118.91,0.01496,0.10938,,,,
glue|roberta-base|cola_wide|baseline|t8|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,8,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.28;weight_decay=1e-05,256,cosine,cat,0.001,2,256,128,0.28,1e-05,54.96,118.19,0.27891,0.0,,,,
glue|roberta-base|cola_wide|baseline|t9|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,9,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.025;weight_decay=5e-05,256,cosine,max,0.0002,4,512,256,0.025,5e-05,51.29,122.04,0.02841,0.00391,,,,
glue|roberta-base|cola_wide|baseline|t10|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,10,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=256;tau_quantile=0.28;weight_decay=5e-05,64,cosine,max,0.0002,2,128,256,0.28,5e-05,55.22,118.09,0.27847,0.0,,,,
glue|roberta-base|cola_wide|baseline|t11|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,11,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.0125;weight_decay=5e-05,256,cosine,cat,2e-05,2,256,128,0.0125,5e-05,23.09,139.72,0.01458,0.10938,,,,
glue|roberta-base|cola_wide|baseline|t12|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,12,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.0125;weight_decay=5e-05,256,cosine,cat,2e-05,4,512,128,0.0125,5e-05,41.81,121.82,0.01449,0.12109,,,,
glue|roberta-base|cola_wide|baseline|t13|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,13,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=128;scorer_hidden=256;tau_quantile=0.05;weight_decay=5e-05,64,cosine,cat,2e-05,2,128,256,0.05,5e-05,0.0,140.57,0.05096,0.00781,,,,
glue|roberta-base|cola_wide|baseline|t14|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,14,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.025;weight_decay=1e-05,128,cosine,max,0.0002,4,512,256,0.025,1e-05,50.67,121.47,0.02846,0.00781,,,,
glue|roberta-base|cola_wide|baseline|t15|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,15,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.2;weight_decay=0.0,64,cosine,max,0.0002,2,512,256,0.2,0.0,54.76,118.73,0.19691,0.0,,,,
glue|roberta-base|cola_wide|baseline|t16|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,16,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.075;weight_decay=5e-05,128,cosine,cat,0.0002,4,512,128,0.075,5e-05,54.73,121.35,0.07697,0.0,,,,
glue|roberta-base|cola_wide|baseline|t17|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,17,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.0125;weight_decay=5e-05,256,cosine,cat,0.0002,4,256,128,0.0125,5e-05,50.29,121.56,0.01449,0.12109,,,,
glue|roberta-base|cola_wide|baseline|t18|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,18,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.05;weight_decay=0.0,128,cosine,max,0.0002,2,128,128,0.05,0.0,54.03,119.16,0.05161,0.0,,,,
glue|roberta-base|cola_wide|baseline|t19|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,19,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.0125;weight_decay=1e-05,64,cosine,max,2e-05,4,128,128,0.0125,1e-05,19.75,120.87,0.01415,0.12891,,,,
glue|roberta-base|cola_wide|baseline|t20|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,20,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.38;weight_decay=1e-05,64,cosine,cat,0.001,4,256,256,0.38,1e-05,55.73,122.04,0.37735,0.0,,,,
glue|roberta-base|cola_wide|baseline|t21|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,21,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.28;weight_decay=0.0,128,cosine,cat,2e-05,4,256,256,0.28,0.0,13.96,121.66,0.27822,0.0,,,,
glue|roberta-base|cola_wide|baseline|t22|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,22,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.15;weight_decay=0.0,128,cosine,max,0.001,2,256,128,0.15,0.0,53.9,119.08,0.14942,0.0,,,,
glue|roberta-base|cola_wide|baseline|t23|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,23,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.075;weight_decay=5e-05,128,cosine,cat,2e-05,4,128,128,0.075,5e-05,10.78,121.42,0.07697,0.0,,,,
glue|roberta-base|cola_wide|baseline|t24|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,24,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=0.0,128,cosine,cat,0.001,2,256,128,0.38,0.0,54.74,118.73,0.37745,0.0,,,,
glue|roberta-base|cola_wide|baseline|t25|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,25,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.075;weight_decay=5e-05,256,cosine,cat,0.0002,4,512,128,0.075,5e-05,51.27,121.56,0.07656,0.0,,,,
glue|roberta-base|cola_wide|baseline|t26|s42|tune,glue,roberta-base,cola_wide,cola,baseline,tune,26,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.2;weight_decay=1e-05,256,cosine,cat,2e-05,2,256,128,0.2,1e-05,20.2,119.0,0.19597,0.0,,,,
