run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau,weight_decay,score,elapsed_sec,mean_density,empty_frac
glue|roberta-base|cola_wide|no_graph|t0|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,0,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=256;tau=0.999;weight_decay=5e-05,256,cosine,cat,0.0002,4,512,256,0.999,5e-05,51.53,148.12,0.00443,0.78516
glue|roberta-base|cola_wide|no_graph|t1|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,1,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=128;tau=0.999;weight_decay=0.0,256,cosine,max,0.001,2,128,128,0.999,0.0,52.75,127.86,0.00462,0.78125
glue|roberta-base|cola_wide|no_graph|t2|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,2,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=256;scorer_hidden=256;tau=0.999;weight_decay=5e-05,256,cosine,cat,0.0002,2,256,256,0.999,5e-05,52.0,127.66,0.00573,0.75
glue|roberta-base|cola_wide|no_graph|t3|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,3,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=256;tau=0.999;weight_decay=0.0,64,cosine,cat,0.001,2,512,256,0.999,0.0,54.75,125.61,0.00437,0.78906
glue|roberta-base|cola_wide|no_graph|t4|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,4,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=128;scorer_hidden=256;tau=0.999;weight_decay=0.0,128,cosine,cat,0.0002,4,128,256,0.999,0.0,54.18,131.79,0.00472,0.75391
glue|roberta-base|cola_wide|no_graph|t5|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,5,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=256;tau=0.999;weight_decay=1e-05,64,cosine,max,2e-05,2,512,256,0.999,1e-05,0.0,129.32,0.00456,0.77344
glue|roberta-base|cola_wide|no_graph|t6|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,6,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=256;tau=0.999;weight_decay=5e-05,256,cosine,cat,2e-05,2,512,256,0.999,5e-05,23.09,129.87,0.00573,0.75
glue|roberta-base|cola_wide|no_graph|t7|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,7,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=256;tau=0.999;weight_decay=1e-05,64,cosine,cat,0.001,2,128,256,0.999,1e-05,54.32,128.47,0.00437,0.78906
glue|roberta-base|cola_wide|no_graph|t8|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,8,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=0.0,128,cosine,cat,0.0002,4,256,128,0.999,0.0,54.26,132.96,0.00472,0.75391
glue|roberta-base|cola_wide|no_graph|t9|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,9,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=5e-05,128,cosine,max,2e-05,4,512,128,0.999,5e-05,0.0,132.21,0.00432,0.75
glue|roberta-base|cola_wide|no_graph|t10|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,10,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=5e-05,256,cosine,cat,0.001,2,256,128,0.999,5e-05,55.09,129.78,0.00573,0.75
glue|roberta-base|cola_wide|no_graph|t11|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,11,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=256;tau=0.999;weight_decay=1e-05,64,cosine,max,2e-05,4,128,256,0.999,1e-05,19.52,132.09,0.005,0.74609
glue|roberta-base|cola_wide|no_graph|t12|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,12,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=5e-05,128,cosine,cat,0.001,4,256,128,0.999,5e-05,55.7,133.83,0.00472,0.75391
glue|roberta-base|cola_wide|no_graph|t13|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,13,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=256;tau=0.999;weight_decay=0.0,128,cosine,cat,2e-05,4,512,256,0.999,0.0,13.42,132.73,0.00472,0.75391
glue|roberta-base|cola_wide|no_graph|t14|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,14,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=256;tau=0.999;weight_decay=1e-05,128,cosine,cat,2e-05,2,512,256,0.999,1e-05,0.0,128.32,0.00522,0.75781
glue|roberta-base|cola_wide|no_graph|t15|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,15,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=1e-05,64,cosine,cat,2e-05,2,256,128,0.999,1e-05,0.0,127.92,0.00437,0.78906
glue|roberta-base|cola_wide|no_graph|t16|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,16,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=128;scorer_hidden=128;tau=0.999;weight_decay=5e-05,128,cosine,max,2e-05,2,128,128,0.999,5e-05,0.0,129.1,0.00418,0.8125
glue|roberta-base|cola_wide|no_graph|t17|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,17,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=128;scorer_hidden=256;tau=0.999;weight_decay=5e-05,128,cosine,max,2e-05,2,128,256,0.999,5e-05,0.0,131.84,0.00418,0.8125
glue|roberta-base|cola_wide|no_graph|t18|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,18,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=5e-05,128,cosine,max,0.0002,4,256,128,0.999,5e-05,50.62,131.18,0.00432,0.75
glue|roberta-base|cola_wide|no_graph|t19|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,19,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau=0.999;weight_decay=1e-05,64,cosine,max,0.001,4,128,128,0.999,1e-05,55.92,132.04,0.005,0.74609
glue|roberta-base|cola_wide|no_graph|t20|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,20,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=5e-05,256,cosine,cat,0.001,2,512,128,0.999,5e-05,54.87,130.17,0.00573,0.75
glue|roberta-base|cola_wide|no_graph|t21|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,21,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=256;tau=0.999;weight_decay=5e-05,64,cosine,max,2e-05,4,512,256,0.999,5e-05,19.27,132.56,0.005,0.74609
glue|roberta-base|cola_wide|no_graph|t22|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,22,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=0.0,128,cosine,max,0.001,2,512,128,0.999,0.0,54.34,128.15,0.00418,0.8125
glue|roberta-base|cola_wide|no_graph|t23|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,23,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=1e-05,64,cosine,max,2e-05,2,512,128,0.999,1e-05,0.0,129.89,0.00456,0.77344
glue|roberta-base|cola_wide|no_graph|t24|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,24,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=256;tau=0.999;weight_decay=5e-05,256,cosine,cat,2e-05,4,512,256,0.999,5e-05,42.1,132.5,0.00443,0.78516
glue|roberta-base|cola_wide|no_graph|t25|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,25,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=0.0,64,cosine,max,2e-05,4,256,128,0.999,0.0,19.52,130.66,0.005,0.74609
glue|roberta-base|cola_wide|no_graph|t26|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,26,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=5e-05,64,cosine,max,0.0002,4,256,128,0.999,5e-05,53.76,133.25,0.005,0.74609
glue|roberta-base|cola_wide|no_graph|t27|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,27,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=1e-05,128,cosine,cat,0.001,2,256,128,0.999,1e-05,52.46,130.32,0.00522,0.75781
glue|roberta-base|cola_wide|no_graph|t28|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,28,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=5e-05,64,cosine,cat,0.001,4,512,128,0.999,5e-05,53.7,133.88,0.00488,0.78906
glue|roberta-base|cola_wide|no_graph|t29|s42|tune,glue,roberta-base,cola_wide,cola,no_graph,tune,29,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=512;scorer_hidden=256;tau=0.999;weight_decay=0.0,128,cosine,max,0.0002,2,512,256,0.999,0.0,53.3,127.85,0.00418,0.8125
