run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,feature_mode,graph_curvature,rho_quantile
glue|roberta-base|stsb_wide|baseline|t0|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,0,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.05;weight_decay=5e-05,64,cosine,cat,0.001,4,128,256,0.05,5e-05,81.15,194.52,0.14631,0.0,,,
glue|roberta-base|stsb_wide|baseline|t1|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,1,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.1;weight_decay=5e-05,64,cosine,max,2e-05,4,512,256,0.1,5e-05,58.06,193.53,0.19635,0.0,,,
glue|roberta-base|stsb_wide|baseline|t2|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,2,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.05;weight_decay=5e-05,128,cosine,max,2e-05,2,512,256,0.05,5e-05,66.77,189.12,0.1516,0.0,,,
glue|roberta-base|stsb_wide|baseline|t3|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,3,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=128;tau_quantile=0.075;weight_decay=0.0,128,cosine,cat,2e-05,2,512,128,0.075,0.0,76.4,187.33,0.17972,0.0,,,
glue|roberta-base|stsb_wide|baseline|t4|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,4,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.075;weight_decay=0.0,128,cosine,cat,0.001,2,256,128,0.075,0.0,82.65,188.55,0.17972,0.0,,,
glue|roberta-base|stsb_wide|baseline|t5|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,5,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.28;weight_decay=1e-05,128,cosine,max,2e-05,4,256,256,0.28,1e-05,68.87,191.17,0.37404,0.0,,,
glue|roberta-base|stsb_wide|baseline|t6|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,6,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.05;weight_decay=1e-05,64,cosine,cat,2e-05,2,512,256,0.05,1e-05,73.38,192.71,0.14918,0.0,,,
glue|roberta-base|stsb_wide|baseline|t7|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,7,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.05;weight_decay=1e-05,64,cosine,cat,0.0002,4,512,256,0.05,1e-05,83.49,196.41,0.14631,0.0,,,
glue|roberta-base|stsb_wide|baseline|t8|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,8,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.0125;weight_decay=5e-05,256,cosine,cat,0.0002,2,512,256,0.0125,5e-05,83.44,191.12,0.11262,0.0,,,
glue|roberta-base|stsb_wide|baseline|t9|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,9,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.025;weight_decay=5e-05,256,cosine,cat,2e-05,2,512,256,0.025,5e-05,78.74,187.14,0.12575,0.0,,,
glue|roberta-base|stsb_wide|baseline|t10|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,10,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.075;weight_decay=5e-05,128,cosine,cat,0.001,2,128,128,0.075,5e-05,82.2,190.35,0.17972,0.0,,,
glue|roberta-base|stsb_wide|baseline|t11|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,11,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.025;weight_decay=1e-05,128,cosine,cat,2e-05,4,128,256,0.025,1e-05,77.99,195.46,0.12344,0.0,,,
glue|roberta-base|stsb_wide|baseline|t12|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,12,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.38;weight_decay=1e-05,64,cosine,cat,0.0002,2,512,256,0.38,1e-05,84.55,191.8,0.4739,0.0,,,
glue|roberta-base|stsb_wide|baseline|t13|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,13,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.025;weight_decay=0.0,128,cosine,cat,2e-05,4,512,256,0.025,0.0,78.0,193.41,0.12344,0.0,,,
glue|roberta-base|stsb_wide|baseline|t14|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,14,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.15;weight_decay=1e-05,64,cosine,cat,2e-05,2,256,128,0.15,1e-05,73.36,196.7,0.24776,0.0,,,
glue|roberta-base|stsb_wide|baseline|t15|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,15,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.075;weight_decay=0.0,64,cosine,max,0.0002,4,512,256,0.075,0.0,72.78,196.69,0.17142,0.0,,,
glue|roberta-base|stsb_wide|baseline|t16|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,16,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.075;weight_decay=0.0,64,cosine,max,2e-05,4,256,128,0.075,0.0,57.7,196.43,0.17142,0.0,,,
glue|roberta-base|stsb_wide|baseline|t17|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,17,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.2;weight_decay=0.0,256,cosine,max,2e-05,4,128,256,0.2,0.0,71.97,195.32,0.29382,0.0,,,
glue|roberta-base|stsb_wide|baseline|t18|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,18,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,256,cosine,cat,0.001,2,256,128,0.38,5e-05,79.13,194.93,0.47427,0.0,,,
glue|roberta-base|stsb_wide|baseline|t19|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,19,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.38;weight_decay=0.0,256,cosine,cat,0.001,4,512,128,0.38,0.0,79.7,201.65,0.47686,0.0,,,
glue|roberta-base|stsb_wide|baseline|t20|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,20,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=256;scorer_hidden=256;tau_quantile=0.05;weight_decay=0.0,128,cosine,cat,0.0002,2,256,256,0.05,0.0,84.46,190.8,0.15333,0.0,,,
glue|roberta-base|stsb_wide|baseline|t21|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,21,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=256;tau_quantile=0.15;weight_decay=0.0,128,cosine,max,2e-05,2,256,256,0.15,0.0,66.18,190.89,0.25021,0.0,,,
glue|roberta-base|stsb_wide|baseline|t22|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,22,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.2;weight_decay=0.0,128,cosine,max,0.0002,4,512,128,0.2,0.0,76.99,198.45,0.29228,0.0,,,
glue|roberta-base|stsb_wide|baseline|t23|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,23,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.1;weight_decay=1e-05,128,cosine,cat,0.0002,4,256,128,0.1,1e-05,83.22,198.2,0.19784,0.0,,,
glue|roberta-base|stsb_wide|baseline|t24|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,24,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.025;weight_decay=1e-05,64,cosine,max,0.001,4,128,256,0.025,1e-05,73.89,195.71,0.12223,0.0,,,
glue|roberta-base|stsb_wide|baseline|t25|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,25,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,128,cosine,cat,0.0002,2,256,128,0.1,5e-05,84.5,190.63,0.2048,0.0,,,
glue|roberta-base|stsb_wide|baseline|t26|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,26,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;scorer_hidden=128;tau_quantile=0.1;weight_decay=0.0,256,cosine,cat,0.0002,2,512,128,0.1,0.0,83.07,190.44,0.19993,0.0,,,
glue|roberta-base|stsb_wide|baseline|t27|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,27,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.15;weight_decay=1e-05,64,cosine,cat,0.0002,4,256,128,0.15,1e-05,83.69,193.75,0.24575,0.0,,,
glue|roberta-base|stsb_wide|baseline|t28|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,28,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.1;weight_decay=5e-05,128,cosine,max,0.0002,4,512,256,0.1,5e-05,77.97,193.61,0.19725,0.0,,,
glue|roberta-base|stsb_wide|baseline|t29|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,29,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.05;weight_decay=1e-05,64,cosine,cat,0.001,4,512,256,0.05,1e-05,81.41,195.35,0.14631,0.0,,,
glue|roberta-base|stsb_wide|baseline|t30|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,30,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.025;weight_decay=5e-05,64,cosine,cat,0.0002,4,512,256,0.025,5e-05,83.62,191.93,0.12337,0.0,,,
glue|roberta-base|stsb_wide|baseline|t31|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,31,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.0125;weight_decay=0.0,256,cosine,max,2e-05,4,128,128,0.0125,0.0,72.42,194.89,0.11102,0.0,,,
glue|roberta-base|stsb_wide|baseline|t32|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,32,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.075;weight_decay=5e-05,128,cosine,cat,0.001,2,256,128,0.075,5e-05,82.18,187.0,0.17972,0.0,,,
glue|roberta-base|stsb_wide|baseline|t33|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,33,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.0125;weight_decay=0.0,128,cosine,max,0.001,2,256,128,0.0125,0.0,76.75,190.16,0.11512,0.0,,,
glue|roberta-base|stsb_wide|baseline|t34|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,34,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.05;weight_decay=1e-05,256,cosine,cat,0.0002,2,128,128,0.05,1e-05,83.13,189.38,0.14922,0.0,,,
glue|roberta-base|stsb_wide|baseline|t35|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,35,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=256;tau_quantile=0.025;weight_decay=1e-05,256,cosine,max,0.001,2,256,256,0.025,1e-05,77.51,191.73,0.12867,0.0,,,
glue|roberta-base|stsb_wide|baseline|t36|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,36,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=256;scorer_hidden=256;tau_quantile=0.15;weight_decay=0.0,64,cosine,cat,0.0002,2,256,256,0.15,0.0,84.19,187.03,0.24776,0.0,,,
glue|roberta-base|stsb_wide|baseline|t37|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,37,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=256;tau_quantile=0.2;weight_decay=1e-05,64,cosine,max,2e-05,2,256,256,0.2,1e-05,58.93,192.61,0.29427,0.0,,,
glue|roberta-base|stsb_wide|baseline|t38|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,38,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,cat,0.001,2,512,128,0.1,5e-05,78.67,195.23,0.19993,0.0,,,
glue|roberta-base|stsb_wide|baseline|t39|s42|tune,glue,roberta-base,stsb_wide,stsb,baseline,tune,39,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.025;weight_decay=0.0,64,cosine,cat,2e-05,4,128,128,0.025,0.0,75.46,191.88,0.12337,0.0,,,
glue|roberta-base|stsb_wide|A|t0|s42|tune,glue,roberta-base,stsb_wide,stsb,A,tune,0,42,spearman,feature_mode=unit;gat_hidden_dim=128;graph_curvature=1.0;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=128;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,128,poincare,cat,2e-05,2,128,256,,1e-05,76.04,232.04,0.29796,0.0,unit,1.0,0.2
glue|roberta-base|stsb_wide|A|t1|s42|tune,glue,roberta-base,stsb_wide,stsb,A,tune,1,42,spearman,feature_mode=unit;gat_hidden_dim=128;graph_curvature=1.0;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.05;scorer_hidden=256;weight_decay=5e-05,128,poincare,cat,0.001,2,512,256,,5e-05,82.52,231.12,0.1516,0.0,unit,1.0,0.05
glue|roberta-base|stsb_wide|A|t2|s42|tune,glue,roberta-base,stsb_wide,stsb,A,tune,2,42,spearman,feature_mode=center_unit;gat_hidden_dim=256;graph_curvature=4.0;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=256;rho_quantile=0.05;scorer_hidden=256;weight_decay=1e-05,256,poincare,cat,0.001,2,256,256,,1e-05,78.79,233.14,0.14756,0.0,center_unit,4.0,0.05
glue|roberta-base|stsb_wide|A|t3|s42|tune,glue,roberta-base,stsb_wide,stsb,A,tune,3,42,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,64,poincare,cat,0.0002,2,512,256,,1e-05,84.26,235.24,0.2934,0.0,center_unit,9.0,0.2
glue|roberta-base|stsb_wide|A|t4|s42|tune,glue,roberta-base,stsb_wide,stsb,A,tune,4,42,spearman,feature_mode=center;gat_hidden_dim=128;graph_curvature=4.0;graph_metric=poincare;jk_mode=max;lr=0.001;num_layers=2;proj_dim=128;rho_quantile=0.05;scorer_hidden=128;weight_decay=5e-05,128,poincare,max,0.001,2,128,128,,5e-05,76.83,227.29,0.14952,0.0,center,4.0,0.05
glue|roberta-base|stsb_wide|A|t5|s42|tune,glue,roberta-base,stsb_wide,stsb,A,tune,5,42,spearman,feature_mode=center_unit;gat_hidden_dim=128;graph_curvature=0.25;graph_metric=poincare;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=128;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,128,poincare,max,0.0002,4,128,256,,1e-05,76.61,238.58,0.29112,0.0,center_unit,0.25,0.2
glue|roberta-base|stsb_wide|A|t6|s42|tune,glue,roberta-base,stsb_wide,stsb,A,tune,6,42,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=2.25;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=128;rho_quantile=0.025;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,2e-05,2,128,128,,0.0,73.42,234.66,0.12584,0.0,center_unit,2.25,0.025
glue|roberta-base|stsb_wide|A|t7|s42|tune,glue,roberta-base,stsb_wide,stsb,A,tune,7,42,spearman,feature_mode=unit;gat_hidden_dim=256;graph_curvature=1.0;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=128;rho_quantile=0.38;scorer_hidden=256;weight_decay=0.0,256,poincare,cat,2e-05,2,128,256,,0.0,78.38,246.59,0.47156,0.0,unit,1.0,0.38
glue|roberta-base|stsb_wide|A|t8|s42|tune,glue,roberta-base,stsb_wide,stsb,A,tune,8,42,spearman,feature_mode=center_unit;gat_hidden_dim=128;graph_curvature=9.0;graph_metric=poincare;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=256;rho_quantile=0.2;scorer_hidden=128;weight_decay=5e-05,128,poincare,max,0.0002,2,256,128,,5e-05,75.97,262.93,0.19539,0.0,center_unit,9.0,0.2
glue|roberta-base|stsb_wide|A|t9|s42|tune,glue,roberta-base,stsb_wide,stsb,A,tune,9,42,spearman,feature_mode=center;gat_hidden_dim=64;graph_curvature=1.0;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=128;rho_quantile=0.05;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,2e-05,2,128,128,,0.0,73.43,238.06,0.0489,0.0,center,1.0,0.05
glue|roberta-base|stsb_wide|A|t10|s42|tune,glue,roberta-base,stsb_wide,stsb,A,tune,10,42,spearman,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=256;rho_quantile=0.05;scorer_hidden=128;weight_decay=0.0,64,poincare,cat,0.0002,4,256,128,,0.0,83.56,246.87,0.04912,0.0,center_unit,0.25,0.05
