run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau,weight_decay,score,elapsed_sec,mean_density,empty_frac
glue|roberta-base|stsb_wide|no_graph|t0|s42|tune,glue,roberta-base,stsb_wide,stsb,no_graph,tune,0,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=1e-05,64,cosine,max,0.001,2,512,128,0.999,1e-05,74.0,184.12,0.09844,0.0
glue|roberta-base|stsb_wide|no_graph|t1|s42|tune,glue,roberta-base,stsb_wide,stsb,no_graph,tune,1,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=256;tau=0.999;weight_decay=5e-05,256,cosine,cat,2e-05,2,256,256,0.999,5e-05,78.78,192.03,0.09894,0.0
glue|roberta-base|stsb_wide|no_graph|t2|s42|tune,glue,roberta-base,stsb_wide,stsb,no_graph,tune,2,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=256;tau=0.999;weight_decay=5e-05,128,cosine,cat,0.001,2,512,256,0.999,5e-05,82.41,177.73,0.1036,0.0
glue|roberta-base|stsb_wide|no_graph|t3|s42|tune,glue,roberta-base,stsb_wide,stsb,no_graph,tune,3,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=128;scorer_hidden=128;tau=0.999;weight_decay=5e-05,64,cosine,cat,0.0002,4,128,128,0.999,5e-05,83.62,181.96,0.09673,0.0
glue|roberta-base|stsb_wide|no_graph|t4|s42|tune,glue,roberta-base,stsb_wide,stsb,no_graph,tune,4,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=256;tau=0.999;weight_decay=0.0,256,cosine,cat,0.001,4,128,256,0.999,0.0,80.26,182.75,0.10153,0.0
glue|roberta-base|stsb_wide|no_graph|t5|s42|tune,glue,roberta-base,stsb_wide,stsb,no_graph,tune,5,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=256;tau=0.999;weight_decay=1e-05,64,cosine,cat,2e-05,4,128,256,0.999,1e-05,75.52,185.23,0.09673,0.0
glue|roberta-base|stsb_wide|no_graph|t6|s42|tune,glue,roberta-base,stsb_wide,stsb,no_graph,tune,6,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=128;scorer_hidden=256;tau=0.999;weight_decay=1e-05,128,cosine,max,2e-05,2,128,256,0.999,1e-05,66.66,178.04,0.10174,0.0
glue|roberta-base|stsb_wide|no_graph|t7|s42|tune,glue,roberta-base,stsb_wide,stsb,no_graph,tune,7,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=256;tau=0.999;weight_decay=0.0,128,cosine,max,2e-05,4,128,256,0.999,0.0,68.51,187.27,0.09608,0.0
glue|roberta-base|stsb_wide|no_graph|t8|s42|tune,glue,roberta-base,stsb_wide,stsb,no_graph,tune,8,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=256;tau=0.999;weight_decay=0.0,64,cosine,cat,0.001,2,128,256,0.999,0.0,82.22,180.46,0.09912,0.0
glue|roberta-base|stsb_wide|no_graph|t9|s42|tune,glue,roberta-base,stsb_wide,stsb,no_graph,tune,9,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=128;scorer_hidden=128;tau=0.999;weight_decay=5e-05,128,cosine,cat,2e-05,2,128,128,0.999,5e-05,76.57,180.4,0.1036,0.0
