run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,curvature,gat_hidden_dim,graph_metric,hyperbolic_readout,jk_mode,learnable_curvature,lr,num_layers,proj_dim,readout_clip,readout_scale,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,feature_mode,gnn_input_clip,gnn_input_scale,graph_curvature,hyp_gnn_type,hyperbolic_gnn,rho_quantile
glue|roberta-base|cola_wide|B|t0|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,0,42,mcc,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.001;num_layers=4;proj_dim=512;readout_clip=0.7;readout_scale=0;scorer_hidden=256;tau_quantile=0.38;weight_decay=0.0,1.0,256,cosine,1,max,0,0.001,4,512,0.7,0,256,0.38,0.0,54.03,166.53,0.37672,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t1|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,1,42,mcc,curvature=1.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.001;num_layers=4;proj_dim=128;readout_clip=0.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.1;weight_decay=0.0,1.0,64,cosine,1,max,0,0.001,4,128,0.0,1,128,0.1,0.0,56.31,149.66,0.10034,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t2|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,2,42,mcc,curvature=1.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=2;proj_dim=256;readout_clip=0.3;readout_scale=0;scorer_hidden=256;tau_quantile=0.05;weight_decay=1e-05,1.0,64,cosine,1,cat,0,0.0002,2,256,0.3,0,256,0.05,1e-05,0.0,146.65,0.05096,0.00781,,,,,,,
glue|roberta-base|cola_wide|B|t3|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,3,42,mcc,curvature=0.25;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=2e-05;num_layers=2;proj_dim=256;readout_clip=0.3;readout_scale=0;scorer_hidden=256;tau_quantile=0.38;weight_decay=5e-05,0.25,128,cosine,1,cat,1,2e-05,2,256,0.3,0,256,0.38,5e-05,0.0,147.93,0.37745,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t4|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,4,42,mcc,curvature=0.25;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.001;num_layers=4;proj_dim=512;readout_clip=0.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.38;weight_decay=0.0,0.25,128,cosine,1,cat,1,0.001,4,512,0.0,1,128,0.38,0.0,54.95,149.74,0.37708,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t5|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,5,42,mcc,curvature=0.25;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.001;num_layers=4;proj_dim=512;readout_clip=0.7;readout_scale=0;scorer_hidden=256;tau_quantile=0.2;weight_decay=0.0,0.25,64,cosine,1,max,0,0.001,4,512,0.7,0,256,0.2,0.0,55.85,149.04,0.1967,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t6|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,6,42,mcc,curvature=0.25;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.0002;num_layers=2;proj_dim=128;readout_clip=1.0;readout_scale=1;scorer_hidden=256;tau_quantile=0.38;weight_decay=1e-05,0.25,128,cosine,1,max,0,0.0002,2,128,1.0,1,256,0.38,1e-05,52.23,144.01,0.37693,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t7|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,7,42,mcc,curvature=0.25;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.0002;num_layers=2;proj_dim=512;readout_clip=0.3;readout_scale=0;scorer_hidden=256;tau_quantile=0.2;weight_decay=1e-05,0.25,64,cosine,1,cat,1,0.0002,2,512,0.3,0,256,0.2,1e-05,0.0,145.2,0.19687,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t8|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,8,42,mcc,curvature=0.25;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.0002;num_layers=4;proj_dim=512;readout_clip=0.7;readout_scale=1;scorer_hidden=128;tau_quantile=0.1;weight_decay=0.0,0.25,64,cosine,1,max,0,0.0002,4,512,0.7,1,128,0.1,0.0,48.55,147.91,0.10034,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t9|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,9,42,mcc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.0002;num_layers=4;proj_dim=128;readout_clip=0.7;readout_scale=1;scorer_hidden=256;tau_quantile=0.05;weight_decay=5e-05,4.0,128,cosine,1,max,1,0.0002,4,128,0.7,1,256,0.05,5e-05,52.27,151.13,0.0513,0.00391,,,,,,,
glue|roberta-base|cola_wide|B|t10|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,10,42,mcc,curvature=0.25;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=2e-05;num_layers=2;proj_dim=512;readout_clip=0.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.2;weight_decay=0.0,0.25,64,cosine,1,cat,1,2e-05,2,512,0.0,1,128,0.2,0.0,0.0,146.37,0.19687,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t11|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,11,42,mcc,curvature=0.25;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=4;proj_dim=256;readout_clip=1.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,0.25,256,cosine,1,cat,0,0.0002,4,256,1.0,0,128,0.38,5e-05,53.87,148.31,0.37744,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t12|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,12,42,mcc,curvature=0.25;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.001;num_layers=2;proj_dim=128;readout_clip=0.7;readout_scale=0;scorer_hidden=128;tau_quantile=0.38;weight_decay=1e-05,0.25,128,cosine,1,cat,0,0.001,2,128,0.7,0,128,0.38,1e-05,55.01,143.29,0.37745,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t13|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,13,42,mcc,curvature=4.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=2e-05;num_layers=4;proj_dim=512;readout_clip=0.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.025;weight_decay=1e-05,4.0,256,cosine,1,max,1,2e-05,4,512,0.0,1,128,0.025,1e-05,0.0,147.17,0.02841,0.00391,,,,,,,
glue|roberta-base|cola_wide|B|t14|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,14,42,mcc,curvature=4.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.0002;num_layers=4;proj_dim=256;readout_clip=1.0;readout_scale=0;scorer_hidden=256;tau_quantile=0.05;weight_decay=0.0,4.0,64,cosine,1,max,1,0.0002,4,256,1.0,0,256,0.05,0.0,51.95,147.71,0.05179,0.00391,,,,,,,
glue|roberta-base|cola_wide|B|t15|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,15,42,mcc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=2e-05;num_layers=4;proj_dim=512;readout_clip=0.3;readout_scale=1;scorer_hidden=256;tau_quantile=0.38;weight_decay=1e-05,4.0,128,cosine,1,max,1,2e-05,4,512,0.3,1,256,0.38,1e-05,0.0,148.21,0.3769,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t16|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,16,42,mcc,curvature=1.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=2e-05;num_layers=2;proj_dim=128;readout_clip=0.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.2;weight_decay=5e-05,1.0,128,cosine,1,cat,1,2e-05,2,128,0.0,1,128,0.2,5e-05,0.0,145.39,0.19704,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t17|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,17,42,mcc,curvature=0.25;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=2;proj_dim=256;readout_clip=1.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.025;weight_decay=1e-05,0.25,256,cosine,1,cat,0,0.0002,2,256,1.0,0,128,0.025,1e-05,54.35,143.87,0.02853,0.01562,,,,,,,
glue|roberta-base|cola_wide|B|t18|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,18,42,mcc,curvature=0.25;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.001;num_layers=2;proj_dim=512;readout_clip=0.3;readout_scale=0;scorer_hidden=128;tau_quantile=0.1;weight_decay=0.0,0.25,256,cosine,1,max,0,0.001,2,512,0.3,0,128,0.1,0.0,51.87,144.35,0.10086,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t19|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,19,42,mcc,curvature=0.25;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=2e-05;num_layers=2;proj_dim=256;readout_clip=0.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.05;weight_decay=1e-05,0.25,64,cosine,1,cat,0,2e-05,2,256,0.0,0,128,0.05,1e-05,0.0,144.93,0.05096,0.00781,,,,,,,
glue|roberta-base|cola_wide|B|t20|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,20,42,mcc,curvature=0.25;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=4;proj_dim=256;readout_clip=1.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,0.25,128,cosine,1,cat,0,0.0002,4,256,1.0,0,128,0.38,5e-05,52.01,148.43,0.37708,0.0,,,,,,,
glue|roberta-base|cola_wide|B|t21|s42|tune,glue,roberta-base,cola_wide,cola,B,tune,21,42,mcc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=2e-05;num_layers=4;proj_dim=512;readout_clip=1.0;readout_scale=1;scorer_hidden=256;tau_quantile=0.05;weight_decay=0.0,4.0,128,cosine,1,cat,0,2e-05,4,512,1.0,1,256,0.05,0.0,0.0,147.3,0.05173,0.00391,,,,,,,
