run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,curvature,feature_mode,gat_hidden_dim,graph_curvature,graph_metric,hyperbolic_readout,jk_mode,learnable_curvature,lr,num_layers,proj_dim,readout_clip,readout_scale,rho_quantile,scorer_hidden,weight_decay,score,elapsed_sec,mean_density,empty_frac,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|roberta-base|cola_wide|AB|t0|s42|tune,glue,roberta-base,cola_wide,cola,AB,tune,0,42,mcc,curvature=0.25;feature_mode=unit;gat_hidden_dim=128;graph_curvature=2.25;graph_metric=poincare;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.001;num_layers=4;proj_dim=256;readout_clip=1.0;readout_scale=1;rho_quantile=0.38;scorer_hidden=256;weight_decay=5e-05,0.25,unit,128,2.25,poincare,1,cat,0,0.001,4,256,1.0,1,0.38,256,5e-05,55.17,193.61,0.37488,0.0,,,,
glue|roberta-base|cola_wide|AB|t1|s42|tune,glue,roberta-base,cola_wide,cola,AB,tune,1,42,mcc,curvature=4.0;feature_mode=center_unit;gat_hidden_dim=128;graph_curvature=0.25;graph_metric=poincare;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.0002;num_layers=4;proj_dim=512;readout_clip=0.7;readout_scale=1;rho_quantile=0.38;scorer_hidden=256;weight_decay=0.0,4.0,center_unit,128,0.25,poincare,1,max,1,0.0002,4,512,0.7,1,0.38,256,0.0,52.5,178.09,0.37415,0.0,,,,
glue|roberta-base|cola_wide|AB|t2|s42|tune,glue,roberta-base,cola_wide,cola,AB,tune,2,42,mcc,curvature=0.25;feature_mode=cls_root_unit;gat_hidden_dim=128;graph_curvature=9.0;graph_metric=poincare;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=2;proj_dim=512;readout_clip=0.3;readout_scale=0;rho_quantile=0.1;scorer_hidden=256;weight_decay=5e-05,0.25,cls_root_unit,128,9.0,poincare,1,cat,0,0.0002,2,512,0.3,0,0.1,256,5e-05,21.58,174.85,0.08367,0.0,,,,
glue|roberta-base|cola_wide|AB|t3|s42|tune,glue,roberta-base,cola_wide,cola,AB,tune,3,42,mcc,curvature=4.0;feature_mode=unit;gat_hidden_dim=128;graph_curvature=2.25;graph_metric=poincare;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=2;proj_dim=128;readout_clip=1.0;readout_scale=0;rho_quantile=0.2;scorer_hidden=256;weight_decay=0.0,4.0,unit,128,2.25,poincare,1,cat,0,0.0002,2,128,1.0,0,0.2,256,0.0,27.07,173.94,0.19537,0.0,,,,
glue|roberta-base|cola_wide|AB|t4|s42|tune,glue,roberta-base,cola_wide,cola,AB,tune,4,42,mcc,curvature=0.25;feature_mode=unit;gat_hidden_dim=128;graph_curvature=2.25;graph_metric=poincare;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=2e-05;num_layers=4;proj_dim=512;readout_clip=0.7;readout_scale=1;rho_quantile=0.1;scorer_hidden=128;weight_decay=5e-05,0.25,unit,128,2.25,poincare,1,cat,0,2e-05,4,512,0.7,1,0.1,128,5e-05,0.0,176.58,0.09899,0.0,,,,
glue|roberta-base|cola_wide|AB|t5|s42|tune,glue,roberta-base,cola_wide,cola,AB,tune,5,42,mcc,curvature=4.0;feature_mode=center;gat_hidden_dim=64;graph_curvature=1.0;graph_metric=poincare;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.001;num_layers=4;proj_dim=256;readout_clip=1.0;readout_scale=0;rho_quantile=0.1;scorer_hidden=128;weight_decay=1e-05,4.0,center,64,1.0,poincare,1,cat,1,0.001,4,256,1.0,0,0.1,128,1e-05,53.13,177.97,0.09836,0.0,,,,
glue|roberta-base|cola_wide|AB|t6|s42|tune,glue,roberta-base,cola_wide,cola,AB,tune,6,42,mcc,curvature=4.0;feature_mode=cls_root_unit;gat_hidden_dim=256;graph_curvature=9.0;graph_metric=poincare;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.0002;num_layers=4;proj_dim=512;readout_clip=0.7;readout_scale=1;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,4.0,cls_root_unit,256,9.0,poincare,1,max,1,0.0002,4,512,0.7,1,0.2,256,1e-05,52.59,178.26,0.18024,0.0,,,,
glue|roberta-base|cola_wide|AB|t7|s42|tune,glue,roberta-base,cola_wide,cola,AB,tune,7,42,mcc,curvature=4.0;feature_mode=cls_root_unit;gat_hidden_dim=128;graph_curvature=4.0;graph_metric=poincare;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.0002;num_layers=2;proj_dim=256;readout_clip=0.3;readout_scale=0;rho_quantile=0.38;scorer_hidden=256;weight_decay=1e-05,4.0,cls_root_unit,128,4.0,poincare,1,cat,1,0.0002,2,256,0.3,0,0.38,256,1e-05,0.0,175.84,0.37346,0.0,,,,
glue|roberta-base|cola_wide|AB|t8|s42|tune,glue,roberta-base,cola_wide,cola,AB,tune,8,42,mcc,curvature=0.25;feature_mode=unit;gat_hidden_dim=64;graph_curvature=2.25;graph_metric=poincare;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=2e-05;num_layers=4;proj_dim=128;readout_clip=0.0;readout_scale=0;rho_quantile=0.025;scorer_hidden=128;weight_decay=1e-05,0.25,unit,64,2.25,poincare,1,cat,1,2e-05,4,128,0.0,0,0.025,128,1e-05,0.0,174.85,0.02594,0.06641,,,,
glue|roberta-base|cola_wide|AB|t9|s42|tune,glue,roberta-base,cola_wide,cola,AB,tune,9,42,mcc,curvature=1.0;feature_mode=center;gat_hidden_dim=256;graph_curvature=9.0;graph_metric=poincare;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=2e-05;num_layers=2;proj_dim=512;readout_clip=1.0;readout_scale=1;rho_quantile=0.38;scorer_hidden=256;weight_decay=0.0,1.0,center,256,9.0,poincare,1,max,1,2e-05,2,512,1.0,1,0.38,256,0.0,0.0,174.35,0.37265,0.0,,,,
