run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,curvature,gat_hidden_dim,graph_metric,hyperbolic_readout,jk_mode,learnable_curvature,lr,num_layers,proj_dim,readout_clip,readout_scale,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,feature_mode,gnn_input_clip,gnn_input_scale,graph_curvature,hyp_gnn_type,hyperbolic_gnn,rho_quantile
glue|roberta-base|stsb_wide|B|t0|s42|tune,glue,roberta-base,stsb_wide,stsb,B,tune,0,42,spearman,curvature=0.25;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=2e-05;num_layers=4;proj_dim=128;readout_clip=0.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.05;weight_decay=0.0,0.25,256,cosine,1,cat,0,2e-05,4,128,0.0,1,128,0.05,0.0,79.03,211.16,0.05079,0.0,,,,,,,
glue|roberta-base|stsb_wide|B|t1|s42|tune,glue,roberta-base,stsb_wide,stsb,B,tune,1,42,spearman,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.0002;num_layers=2;proj_dim=512;readout_clip=0.7;readout_scale=1;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,4.0,128,cosine,1,cat,1,0.0002,2,512,0.7,1,128,0.1,5e-05,81.55,208.78,0.10175,0.0,,,,,,,
glue|roberta-base|stsb_wide|B|t2|s42|tune,glue,roberta-base,stsb_wide,stsb,B,tune,2,42,spearman,curvature=4.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=4;proj_dim=512;readout_clip=1.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.2;weight_decay=0.0,4.0,64,cosine,1,cat,0,0.0002,4,512,1.0,0,128,0.2,0.0,80.9,209.16,0.19691,0.0,,,,,,,
glue|roberta-base|stsb_wide|B|t3|s42|tune,glue,roberta-base,stsb_wide,stsb,B,tune,3,42,spearman,curvature=4.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=2e-05;num_layers=4;proj_dim=128;readout_clip=1.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.38;weight_decay=0.0,4.0,64,cosine,1,cat,1,2e-05,4,128,1.0,1,128,0.38,0.0,63.66,212.93,0.37675,0.0,,,,,,,
glue|roberta-base|stsb_wide|B|t4|s42|tune,glue,roberta-base,stsb_wide,stsb,B,tune,4,42,spearman,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.0002;num_layers=4;proj_dim=128;readout_clip=0.3;readout_scale=1;scorer_hidden=256;tau_quantile=0.05;weight_decay=1e-05,1.0,256,cosine,1,max,1,0.0002,4,128,0.3,1,256,0.05,1e-05,76.62,213.41,0.05123,0.0,,,,,,,
glue|roberta-base|stsb_wide|B|t5|s42|tune,glue,roberta-base,stsb_wide,stsb,B,tune,5,42,spearman,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=4;proj_dim=512;readout_clip=0.3;readout_scale=0;scorer_hidden=256;tau_quantile=0.1;weight_decay=0.0,1.0,256,cosine,1,cat,0,0.0002,4,512,0.3,0,256,0.1,0.0,76.33,212.25,0.10188,0.0,,,,,,,
glue|roberta-base|stsb_wide|B|t6|s42|tune,glue,roberta-base,stsb_wide,stsb,B,tune,6,42,spearman,curvature=0.25;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.001;num_layers=2;proj_dim=512;readout_clip=1.0;readout_scale=0;scorer_hidden=256;tau_quantile=0.2;weight_decay=5e-05,0.25,256,cosine,1,max,0,0.001,2,512,1.0,0,256,0.2,5e-05,77.13,207.17,0.1967,0.0,,,,,,,
glue|roberta-base|stsb_wide|B|t7|s42|tune,glue,roberta-base,stsb_wide,stsb,B,tune,7,42,spearman,curvature=4.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=2;proj_dim=256;readout_clip=0.3;readout_scale=1;scorer_hidden=128;tau_quantile=0.05;weight_decay=0.0,4.0,64,cosine,1,cat,0,0.0002,2,256,0.3,1,128,0.05,0.0,75.35,207.93,0.05081,0.0,,,,,,,
glue|roberta-base|stsb_wide|B|t8|s42|tune,glue,roberta-base,stsb_wide,stsb,B,tune,8,42,spearman,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.0002;num_layers=4;proj_dim=512;readout_clip=1.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.38;weight_decay=0.0,1.0,256,cosine,1,max,0,0.0002,4,512,1.0,0,128,0.38,0.0,79.02,209.53,0.37589,0.0,,,,,,,
glue|roberta-base|stsb_wide|B|t9|s42|tune,glue,roberta-base,stsb_wide,stsb,B,tune,9,42,spearman,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.001;num_layers=2;proj_dim=256;readout_clip=0.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.38;weight_decay=1e-05,1.0,256,cosine,1,cat,0,0.001,2,256,0.0,0,128,0.38,1e-05,76.61,206.6,0.3761,0.0,,,,,,,
