run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,graph_metric,tau_quantile,score,elapsed_sec,mean_density,empty_frac,tau
stress|bert-base-uncased|r0.95_d60|baseline|t0|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,baseline,tune,0,42,acc,graph_metric=cosine;tau_quantile=0.05,cosine,0.05,96.6,85.79,0.05787,0.0,
stress|bert-base-uncased|r0.95_d60|baseline|t1|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,baseline,tune,1,42,acc,graph_metric=cosine;tau_quantile=0.2,cosine,0.2,96.1,87.76,0.20784,0.0,
stress|bert-base-uncased|r0.95_d60|baseline|t2|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,baseline,tune,2,42,acc,graph_metric=cosine;tau_quantile=0.1,cosine,0.1,96.5,86.31,0.10791,0.0,
stress|bert-base-uncased|r0.95_d60|baseline|t3|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,baseline,tune,3,42,acc,graph_metric=cosine;tau_quantile=0.38,cosine,0.38,95.7,89.53,0.38783,0.0,
stress|bert-base-uncased|r0.95_d60|baseline|t4|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,baseline,tune,4,42,acc,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,97.2,86.0,0.03288,0.0,
stress|bert-base-uncased|r0.95_d60|no_graph|t0|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,no_graph,tune,0,42,acc,graph_metric=cosine;tau=0.999,cosine,,97.5,83.16,0.00789,0.0,0.999
stress|bert-base-uncased|r0.95_d60|A|t0|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,A,tune,0,42,acc,feature_mode=center_unit;graph_curvature=9.0;graph_metric=poincare;rho_quantile=0.025,poincare,,97.3,88.9,0.03287,0.0,
stress|bert-base-uncased|r0.95_d60|A|t1|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,A,tune,1,42,acc,feature_mode=center;graph_curvature=9.0;graph_metric=poincare;rho_quantile=0.2,poincare,,96.6,88.49,0.20533,0.0,
stress|bert-base-uncased|r0.95_d60|A|t2|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,A,tune,2,42,acc,feature_mode=center_unit;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.025,poincare,,97.4,87.82,0.03287,0.0,
stress|bert-base-uncased|r0.95_d60|A|t3|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,A,tune,3,42,acc,feature_mode=center;graph_curvature=0.25;graph_metric=poincare;rho_quantile=0.2,poincare,,96.5,88.78,0.20621,0.0,
stress|bert-base-uncased|r0.95_d60|A|t4|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,A,tune,4,42,acc,feature_mode=center_unit;graph_curvature=9.0;graph_metric=poincare;rho_quantile=0.1,poincare,,97.3,88.54,0.10787,0.0,
stress|bert-base-uncased|r0.95_d60|A|t5|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,A,tune,5,42,acc,feature_mode=unit;graph_curvature=4.0;graph_metric=poincare;rho_quantile=0.025,poincare,,97.6,88.2,0.03287,0.0,
stress|bert-base-uncased|r0.95_d60|A|t6|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,A,tune,6,42,acc,feature_mode=cls_root_unit;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.05,poincare,,97.1,89.29,0.05786,0.0,
stress|bert-base-uncased|r0.95_d60|A|t7|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,A,tune,7,42,acc,feature_mode=cls_root_unit;graph_curvature=9.0;graph_metric=poincare;rho_quantile=0.38,poincare,,95.9,92.51,0.38765,0.0,
stress|bert-base-uncased|r0.95_d60|A|t8|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,A,tune,8,42,acc,feature_mode=center_unit;graph_curvature=1.0;graph_metric=poincare;rho_quantile=0.025,poincare,,97.3,89.39,0.03287,0.0,
stress|bert-base-uncased|r0.95_d60|A|t9|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,A,tune,9,42,acc,feature_mode=cls_root_unit;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.38,poincare,,96.9,92.81,0.38782,0.0,
stress|bert-base-uncased|r0.95_d60|B|t0|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,B,tune,0,42,acc,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=0;readout_clip=0.0;readout_scale=0;tau_quantile=0.05,cosine,0.05,96.0,90.93,0.05787,0.0,
stress|bert-base-uncased|r0.95_d60|B|t1|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,B,tune,1,42,acc,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.3;readout_scale=1;tau_quantile=0.025,cosine,0.025,97.7,90.62,0.03288,0.0,
stress|bert-base-uncased|r0.95_d60|B|t2|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,B,tune,2,42,acc,curvature=4.0;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.05,cosine,0.05,94.5,90.19,0.05787,0.0,
stress|bert-base-uncased|r0.95_d60|B|t3|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,B,tune,3,42,acc,curvature=1.0;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.3;readout_scale=0;tau_quantile=0.38,cosine,0.38,96.2,93.82,0.38783,0.0,
stress|bert-base-uncased|r0.95_d60|B|t4|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,B,tune,4,42,acc,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.7;readout_scale=1;tau_quantile=0.05,cosine,0.05,97.3,90.28,0.05787,0.0,
stress|bert-base-uncased|r0.95_d60|B|t5|s42|tune,stress,bert-base-uncased,r0.95_d60,cola,B,tune,5,42,acc,curvature=4.0;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=0;readout_clip=1.0;readout_scale=0;tau_quantile=0.05,cosine,0.05,95.8,89.65,0.05787,0.0,
