run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,graph_metric,tau_quantile,score,elapsed_sec,mean_density,empty_frac,positional_only,positional_window,tau
glue|bert-base-uncased|cola_L12|baseline|t0|s42|tune,glue,bert-base-uncased,cola_L12,cola,baseline,tune,0,42,mcc,graph_metric=cosine;tau_quantile=0.0125,cosine,0.0125,45.32,113.87,0.12444,0.0,,,
glue|bert-base-uncased|cola_L12|baseline|t1|s42|tune,glue,bert-base-uncased,cola_L12,cola,baseline,tune,1,42,mcc,graph_metric=cosine;tau_quantile=0.15,cosine,0.15,43.94,113.8,0.25956,0.0,,,
glue|bert-base-uncased|cola_L12|baseline|t2|s42|tune,glue,bert-base-uncased,cola_L12,cola,baseline,tune,2,42,mcc,graph_metric=cosine;tau_quantile=0.075,cosine,0.075,42.92,113.59,0.19019,0.0,,,
glue|bert-base-uncased|cola_L12|baseline|t3|s42|tune,glue,bert-base-uncased,cola_L12,cola,baseline,tune,3,42,mcc,graph_metric=cosine;tau_quantile=0.2,cosine,0.2,42.81,112.74,0.30796,0.0,,,
glue|bert-base-uncased|cola_L12|baseline|t4|s42|tune,glue,bert-base-uncased,cola_L12,cola,baseline,tune,4,42,mcc,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,42.77,114.61,0.13989,0.0,,,
glue|bert-base-uncased|cola_L12|baseline|t5|s42|tune,glue,bert-base-uncased,cola_L12,cola,baseline,tune,5,42,mcc,graph_metric=cosine;tau_quantile=0.0375,cosine,0.0375,42.84,114.68,0.1501,0.0,,,
glue|bert-base-uncased|cola_L12|baseline|t6|s42|tune,glue,bert-base-uncased,cola_L12,cola,baseline,tune,6,42,mcc,graph_metric=cosine;tau_quantile=0.05,cosine,0.05,43.41,116.21,0.16153,0.0,,,
glue|bert-base-uncased|cola_L12|baseline|t7|s42|tune,glue,bert-base-uncased,cola_L12,cola,baseline,tune,7,42,mcc,graph_metric=cosine;tau_quantile=0.28,cosine,0.28,42.99,116.44,0.39128,0.0,,,
glue|bert-base-uncased|cola_L12|baseline|t8|s42|tune,glue,bert-base-uncased,cola_L12,cola,baseline,tune,8,42,mcc,graph_metric=cosine;tau_quantile=0.38,cosine,0.38,42.53,114.88,0.48837,0.0,,,
glue|bert-base-uncased|cola_L12|baseline|t9|s42|tune,glue,bert-base-uncased,cola_L12,cola,baseline,tune,9,42,mcc,graph_metric=cosine;tau_quantile=0.1,cosine,0.1,44.71,115.65,0.21255,0.0,,,
glue|bert-base-uncased|cola_L12|POS|t0|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS,tune,0,42,mcc,graph_metric=cosine;positional_window=5;tau_quantile=0.2,cosine,0.2,47.05,123.84,0.87587,0.0,,5,
glue|bert-base-uncased|cola_L12|POS|t1|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS,tune,1,42,mcc,graph_metric=cosine;positional_window=3;tau_quantile=0.38,cosine,0.38,44.12,122.21,0.73528,0.0,,3,
glue|bert-base-uncased|cola_L12|POS|t2|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS,tune,2,42,mcc,graph_metric=cosine;positional_window=3;tau_quantile=0.025,cosine,0.025,44.28,123.4,0.64044,0.0,,3,
glue|bert-base-uncased|cola_L12|POS|t3|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS,tune,3,42,mcc,graph_metric=cosine;positional_window=1;tau_quantile=0.2,cosine,0.2,43.56,124.07,0.41002,0.0,,1,
glue|bert-base-uncased|cola_L12|POS|t4|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS,tune,4,42,mcc,graph_metric=cosine;positional_window=2;tau_quantile=0.025,cosine,0.025,43.88,123.56,0.49294,0.0,,2,
glue|bert-base-uncased|cola_L12|POS|t5|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS,tune,5,42,mcc,graph_metric=cosine;positional_window=5;tau_quantile=0.05,cosine,0.05,47.08,126.56,0.8623,0.0,,5,
glue|bert-base-uncased|cola_L12|POS|t6|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS,tune,6,42,mcc,graph_metric=cosine;positional_window=3;tau_quantile=0.2,cosine,0.2,44.08,161.45,0.67342,0.0,,3,
glue|bert-base-uncased|cola_L12|POS|t7|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS,tune,7,42,mcc,graph_metric=cosine;positional_window=3;tau_quantile=0.05,cosine,0.05,44.17,355.29,0.64437,0.0,,3,
glue|bert-base-uncased|cola_L12|POS|t8|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS,tune,8,42,mcc,graph_metric=cosine;positional_window=1;tau_quantile=0.1,cosine,0.1,43.61,186.24,0.35422,0.0,,1,
glue|bert-base-uncased|cola_L12|POS|t9|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS,tune,9,42,mcc,graph_metric=cosine;positional_window=1;tau_quantile=0.38,cosine,0.38,43.18,127.03,0.54894,0.0,,1,
glue|bert-base-uncased|cola_L12|POS_ONLY|t0|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS_ONLY,tune,0,42,mcc,graph_metric=cosine;positional_only=1;positional_window=3;tau=0.999,cosine,,43.76,116.31,0.63613,0.0,1,3,0.999
glue|bert-base-uncased|cola_L12|POS_ONLY|t1|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS_ONLY,tune,1,42,mcc,graph_metric=cosine;positional_only=1;positional_window=5;tau=0.999,cosine,,46.8,124.09,0.85813,0.0,1,5,0.999
glue|bert-base-uncased|cola_L12|POS_ONLY|t2|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS_ONLY,tune,2,42,mcc,graph_metric=cosine;positional_only=1;positional_window=1;tau=0.999,cosine,,42.26,119.04,0.31253,0.0,1,1,0.999
glue|bert-base-uncased|cola_L12|POS_ONLY|t3|s42|tune,glue,bert-base-uncased,cola_L12,cola,POS_ONLY,tune,3,42,mcc,graph_metric=cosine;positional_only=1;positional_window=2;tau=0.999,cosine,,44.72,114.71,0.48703,0.0,1,2,0.999
glue|bert-base-uncased|cola_L12|A_POS|t0|s42|tune,glue,bert-base-uncased,cola_L12,cola,A_POS,tune,0,42,mcc,feature_mode=center_unit;graph_curvature=0.25;graph_metric=poincare;positional_window=2;rho_quantile=0.1,poincare,,42.76,159.32,0.51357,0.0,,2,
glue|bert-base-uncased|cola_L12|A_POS|t1|s42|tune,glue,bert-base-uncased,cola_L12,cola,A_POS,tune,1,42,mcc,feature_mode=cls_root_unit;graph_curvature=0.25;graph_metric=poincare;positional_window=2;rho_quantile=0.1,poincare,,43.6,154.44,0.51344,0.0,,2,
glue|bert-base-uncased|cola_L12|A_POS|t2|s42|tune,glue,bert-base-uncased,cola_L12,cola,A_POS,tune,2,42,mcc,feature_mode=center;graph_curvature=0.25;graph_metric=poincare;positional_window=1;rho_quantile=0.05,poincare,,42.15,169.61,0.32708,0.0,,1,
glue|bert-base-uncased|cola_L12|A_POS|t3|s42|tune,glue,bert-base-uncased,cola_L12,cola,A_POS,tune,3,42,mcc,feature_mode=unit;graph_curvature=9.0;graph_metric=poincare;positional_window=3;rho_quantile=0.2,poincare,,44.87,157.6,0.68796,0.0,,3,
glue|bert-base-uncased|cola_L12|A_POS|t4|s42|tune,glue,bert-base-uncased,cola_L12,cola,A_POS,tune,4,42,mcc,feature_mode=unit;graph_curvature=0.25;graph_metric=poincare;positional_window=2;rho_quantile=0.38,poincare,,43.0,154.29,0.64328,0.0,,2,
glue|bert-base-uncased|cola_L12|A_POS|t5|s42|tune,glue,bert-base-uncased,cola_L12,cola,A_POS,tune,5,42,mcc,feature_mode=center_unit;graph_curvature=0.25;graph_metric=poincare;positional_window=3;rho_quantile=0.2,poincare,,44.32,159.92,0.67533,0.0,,3,
glue|bert-base-uncased|cola_L12|A_POS|t6|s42|tune,glue,bert-base-uncased,cola_L12,cola,A_POS,tune,6,42,mcc,feature_mode=center_unit;graph_curvature=0.25;graph_metric=poincare;positional_window=2;rho_quantile=0.38,poincare,,42.63,155.68,0.64475,0.0,,2,
glue|bert-base-uncased|cola_L12|A_POS|t7|s42|tune,glue,bert-base-uncased,cola_L12,cola,A_POS,tune,7,42,mcc,feature_mode=center_unit;graph_curvature=9.0;graph_metric=poincare;positional_window=3;rho_quantile=0.38,poincare,,43.42,154.97,0.75058,0.0,,3,
glue|bert-base-uncased|cola_L12|A_POS|t8|s42|tune,glue,bert-base-uncased,cola_L12,cola,A_POS,tune,8,42,mcc,feature_mode=cls_root_unit;graph_curvature=0.25;graph_metric=poincare;positional_window=3;rho_quantile=0.025,poincare,,44.73,161.32,0.64084,0.0,,3,
glue|bert-base-uncased|cola_L12|A_POS|t9|s42|tune,glue,bert-base-uncased,cola_L12,cola,A_POS,tune,9,42,mcc,feature_mode=center_unit;graph_curvature=4.0;graph_metric=poincare;positional_window=1;rho_quantile=0.2,poincare,,43.28,162.89,0.42967,0.0,,1,
glue|bert-base-uncased|cola_L12|KNN|t0|s42|tune,glue,bert-base-uncased,cola_L12,cola,KNN,tune,0,42,mcc,graph_adj=knn;graph_metric=cosine;knn_k=16,cosine,,44.94,117.81,1.10708,0.0,,,
glue|bert-base-uncased|cola_L12|KNN|t1|s42|tune,glue,bert-base-uncased,cola_L12,cola,KNN,tune,1,42,mcc,graph_adj=knn;graph_metric=cosine;knn_k=2,cosine,,44.8,117.95,0.43215,0.0,,,
glue|bert-base-uncased|cola_L12|KNN|t2|s42|tune,glue,bert-base-uncased,cola_L12,cola,KNN,tune,2,42,mcc,graph_adj=knn;graph_metric=cosine;knn_k=8,cosine,,45.32,123.76,1.00911,0.0,,,
glue|bert-base-uncased|cola_L12|KNN|t3|s42|tune,glue,bert-base-uncased,cola_L12,cola,KNN,tune,3,42,mcc,graph_adj=knn;graph_metric=cosine;knn_k=4,cosine,,44.32,120.06,0.70891,0.0,,,
glue|bert-base-uncased|cola_L12|A_POS|t3|s1|confirm,glue,bert-base-uncased,cola_L12,cola,A_POS,confirm,3,1,mcc,feature_mode=unit;graph_curvature=9.0;graph_metric=poincare;positional_window=3;rho_quantile=0.2,poincare,,46.13,154.77,0.67341,0.0,,3,
glue|bert-base-uncased|cola_L12|A_POS|t3|s2|confirm,glue,bert-base-uncased,cola_L12,cola,A_POS,confirm,3,2,mcc,feature_mode=unit;graph_curvature=9.0;graph_metric=poincare;positional_window=3;rho_quantile=0.2,poincare,,44.7,154.75,0.67949,0.0,,3,
glue|bert-base-uncased|cola_L12|A_POS|t3|s3|confirm,glue,bert-base-uncased,cola_L12,cola,A_POS,confirm,3,3,mcc,feature_mode=unit;graph_curvature=9.0;graph_metric=poincare;positional_window=3;rho_quantile=0.2,poincare,,46.97,162.76,0.66242,0.0,,3,
glue|bert-base-uncased|cola_L12|A_POS|t3|s4|confirm,glue,bert-base-uncased,cola_L12,cola,A_POS,confirm,3,4,mcc,feature_mode=unit;graph_curvature=9.0;graph_metric=poincare;positional_window=3;rho_quantile=0.2,poincare,,44.46,163.85,0.66437,0.0,,3,
glue|bert-base-uncased|cola_L12|A_POS|t3|s5|confirm,glue,bert-base-uncased,cola_L12,cola,A_POS,confirm,3,5,mcc,feature_mode=unit;graph_curvature=9.0;graph_metric=poincare;positional_window=3;rho_quantile=0.2,poincare,,45.72,154.91,0.67117,0.0,,3,
