run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,feature_mode,graph_curvature,rho_quantile,curvature,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn,tau
glue|roberta-base|rte_wide|baseline|t0|s42|tune,glue,roberta-base,rte_wide,rte,baseline,tune,0,42,acc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=1e-05,64,cosine,cat,0.001,2,256,128,0.38,1e-05,57.4,73.48,0.37896,0.0,,,,,,,,,,,,,
glue|roberta-base|rte_wide|baseline|t1|s42|tune,glue,roberta-base,rte_wide,rte,baseline,tune,1,42,acc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.2;weight_decay=5e-05,128,cosine,cat,0.001,2,512,256,0.2,5e-05,53.79,72.61,0.19909,0.0,,,,,,,,,,,,,
glue|roberta-base|rte_wide|baseline|t2|s42|tune,glue,roberta-base,rte_wide,rte,baseline,tune,2,42,acc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.05;weight_decay=0.0,64,cosine,cat,0.0002,2,128,128,0.05,0.0,54.51,73.39,0.05003,0.00391,,,,,,,,,,,,,
glue|roberta-base|rte_wide|baseline|t3|s42|tune,glue,roberta-base,rte_wide,rte,baseline,tune,3,42,acc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.05;weight_decay=5e-05,128,cosine,max,2e-05,2,128,128,0.05,5e-05,54.87,72.71,0.05029,0.0,,,,,,,,,,,,,
glue|roberta-base|rte_wide|baseline|t4|s42|tune,glue,roberta-base,rte_wide,rte,baseline,tune,4,42,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.025;weight_decay=0.0,256,cosine,max,0.001,4,256,128,0.025,0.0,58.12,73.92,0.02556,0.0,,,,,,,,,,,,,
glue|roberta-base|rte_wide|baseline|t5|s42|tune,glue,roberta-base,rte_wide,rte,baseline,tune,5,42,acc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.2;weight_decay=0.0,64,cosine,cat,0.001,4,512,256,0.2,0.0,52.71,75.92,0.19921,0.0,,,,,,,,,,,,,
glue|roberta-base|rte_wide|baseline|t6|s42|tune,glue,roberta-base,rte_wide,rte,baseline,tune,6,42,acc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.1;weight_decay=1e-05,64,cosine,max,2e-05,4,256,256,0.1,1e-05,55.96,74.2,0.09964,0.0,,,,,,,,,,,,,
glue|roberta-base|rte_wide|baseline|t7|s42|tune,glue,roberta-base,rte_wide,rte,baseline,tune,7,42,acc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.38;weight_decay=1e-05,64,cosine,cat,0.0002,4,512,128,0.38,1e-05,56.32,74.31,0.37893,0.0,,,,,,,,,,,,,
glue|roberta-base|rte_wide|baseline|t8|s42|tune,glue,roberta-base,rte_wide,rte,baseline,tune,8,42,acc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.1;weight_decay=1e-05,128,cosine,cat,0.001,2,256,128,0.1,1e-05,53.07,72.8,0.10019,0.0,,,,,,,,,,,,,
glue|roberta-base|rte_wide|baseline|t9|s42|tune,glue,roberta-base,rte_wide,rte,baseline,tune,9,42,acc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.05;weight_decay=1e-05,128,cosine,cat,0.001,4,128,256,0.05,1e-05,54.87,74.71,0.05072,0.0,,,,,,,,,,,,,
