run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau,weight_decay,score,elapsed_sec,mean_density,empty_frac,curvature,feature_mode,graph_curvature,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,rho_quantile
glue|bert-base-uncased|cola_wide|no_graph|t0|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,0,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=128;scorer_hidden=256;tau=0.999;weight_decay=1e-05,64,cosine,max,2e-05,2,128,256,0.999,1e-05,0.0,127.7,0.1088,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t1|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,1,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=0.0,256,cosine,max,0.001,4,512,128,0.999,0.0,46.73,130.59,0.1139,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t2|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,2,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=256;tau=0.999;weight_decay=1e-05,64,cosine,max,2e-05,4,256,256,0.999,1e-05,0.0,130.64,0.10647,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t3|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,3,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=5e-05,64,cosine,cat,0.0002,4,512,128,0.999,5e-05,46.8,128.99,0.10827,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t4|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,4,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=0.0,256,cosine,cat,2e-05,2,256,128,0.999,0.0,25.56,125.06,0.1101,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t5|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,5,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=1e-05,128,cosine,cat,2e-05,2,512,128,0.999,1e-05,28.67,126.78,0.11264,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t6|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,6,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=5e-05,256,cosine,cat,0.0002,2,512,128,0.999,5e-05,47.01,124.85,0.1101,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t7|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,7,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=1e-05,64,cosine,max,0.001,2,512,128,0.999,1e-05,46.0,126.37,0.1088,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t8|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,8,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=0.0,128,cosine,max,2e-05,2,512,128,0.999,0.0,12.3,125.21,0.10673,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t9|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,9,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=5e-05,64,cosine,cat,0.0002,4,256,128,0.999,5e-05,47.62,129.38,0.10827,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t10|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,10,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=128;scorer_hidden=256;tau=0.999;weight_decay=1e-05,128,cosine,max,2e-05,2,128,256,0.999,1e-05,12.3,126.63,0.10673,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t11|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,11,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=5e-05,128,cosine,cat,2e-05,2,256,128,0.999,5e-05,28.67,126.16,0.11264,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t12|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,12,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=256;scorer_hidden=128;tau=0.999;weight_decay=5e-05,256,cosine,max,0.001,4,256,128,0.999,5e-05,49.4,129.33,0.1139,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t13|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,13,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=256;tau=0.999;weight_decay=1e-05,256,cosine,cat,2e-05,4,256,256,0.999,1e-05,36.99,132.46,0.10892,0.0,,,,,,,,
glue|bert-base-uncased|cola_wide|no_graph|t14|s42|tune,glue,bert-base-uncased,cola_wide,cola,no_graph,tune,14,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=128;tau=0.999;weight_decay=5e-05,128,cosine,cat,2e-05,4,512,128,0.999,5e-05,8.64,131.59,0.10586,0.0,,,,,,,,
