run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,curvature,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|bert-base-uncased|mrpc_wide|baseline|t0|s42|tune,glue,bert-base-uncased,mrpc_wide,mrpc,baseline,tune,0,42,f1,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.05;weight_decay=1e-05,128,cosine,cat,0.001,4,256,256,0.05,1e-05,81.85,118.36,0.05026,0.0,,,,,
glue|bert-base-uncased|mrpc_wide|baseline|t1|s42|tune,glue,bert-base-uncased,mrpc_wide,mrpc,baseline,tune,1,42,f1,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.1;weight_decay=1e-05,256,cosine,max,0.001,2,512,256,0.1,1e-05,80.96,115.54,0.1,0.0,,,,,
glue|bert-base-uncased|mrpc_wide|baseline|t2|s42|tune,glue,bert-base-uncased,mrpc_wide,mrpc,baseline,tune,2,42,f1,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.38;weight_decay=1e-05,128,cosine,max,0.0002,2,128,128,0.38,1e-05,82.57,112.78,0.37931,0.0,,,,,
glue|bert-base-uncased|mrpc_wide|baseline|t3|s42|tune,glue,bert-base-uncased,mrpc_wide,mrpc,baseline,tune,3,42,f1,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.025;weight_decay=5e-05,128,cosine,cat,2e-05,4,512,128,0.025,5e-05,81.22,115.18,0.0249,0.0,,,,,
glue|bert-base-uncased|mrpc_wide|baseline|t4|s42|tune,glue,bert-base-uncased,mrpc_wide,mrpc,baseline,tune,4,42,f1,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,128,cosine,max,0.001,2,256,128,0.38,5e-05,81.04,111.87,0.37931,0.0,,,,,
glue|bert-base-uncased|mrpc_wide|baseline|t5|s42|tune,glue,bert-base-uncased,mrpc_wide,mrpc,baseline,tune,5,42,f1,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.075;weight_decay=1e-05,256,cosine,cat,2e-05,4,128,256,0.075,1e-05,82.2,115.4,0.0748,0.0,,,,,
glue|bert-base-uncased|mrpc_wide|baseline|t6|s42|tune,glue,bert-base-uncased,mrpc_wide,mrpc,baseline,tune,6,42,f1,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.15;weight_decay=5e-05,128,cosine,max,0.001,4,512,256,0.15,5e-05,82.18,115.22,0.15,0.0,,,,,
glue|bert-base-uncased|mrpc_wide|baseline|t7|s42|tune,glue,bert-base-uncased,mrpc_wide,mrpc,baseline,tune,7,42,f1,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.025;weight_decay=1e-05,64,cosine,max,2e-05,4,256,256,0.025,1e-05,81.22,115.15,0.02497,0.0,,,,,
glue|bert-base-uncased|mrpc_wide|baseline|t8|s42|tune,glue,bert-base-uncased,mrpc_wide,mrpc,baseline,tune,8,42,f1,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.1;weight_decay=0.0,128,cosine,max,2e-05,2,512,256,0.1,0.0,81.22,113.85,0.09978,0.0,,,,,
glue|bert-base-uncased|mrpc_wide|baseline|t9|s42|tune,glue,bert-base-uncased,mrpc_wide,mrpc,baseline,tune,9,42,f1,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.025;weight_decay=1e-05,64,cosine,cat,0.001,4,512,128,0.025,1e-05,81.96,114.61,0.02505,0.0,,,,,
