run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,curvature,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn,feature_mode,graph_curvature,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,rho_quantile,tau
glue|bert-base-uncased|rte_wide|baseline|t0|s42|tune,glue,bert-base-uncased,rte_wide,rte,baseline,tune,0,42,acc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.1;weight_decay=1e-05,64,cosine,cat,0.0002,4,256,128,0.1,1e-05,54.51,90.87,0.10005,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|rte_wide|baseline|t1|s42|tune,glue,bert-base-uncased,rte_wide,rte,baseline,tune,1,42,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.15;weight_decay=0.0,256,cosine,max,0.0002,4,128,128,0.15,0.0,48.01,95.61,0.14954,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|rte_wide|baseline|t2|s42|tune,glue,bert-base-uncased,rte_wide,rte,baseline,tune,2,42,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.05;weight_decay=0.0,256,cosine,cat,0.0002,2,128,128,0.05,0.0,55.6,87.84,0.0505,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|rte_wide|baseline|t3|s42|tune,glue,bert-base-uncased,rte_wide,rte,baseline,tune,3,42,acc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.2;weight_decay=5e-05,128,cosine,max,0.0002,2,256,128,0.2,5e-05,54.87,88.0,0.19863,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|rte_wide|baseline|t4|s42|tune,glue,bert-base-uncased,rte_wide,rte,baseline,tune,4,42,acc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=512;scorer_hidden=128;tau_quantile=0.1;weight_decay=0.0,128,cosine,max,0.0002,2,512,128,0.1,0.0,55.23,88.26,0.10007,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|rte_wide|baseline|t5|s42|tune,glue,bert-base-uncased,rte_wide,rte,baseline,tune,5,42,acc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.28;weight_decay=5e-05,256,cosine,max,2e-05,4,256,256,0.28,5e-05,50.18,93.41,0.279,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|rte_wide|baseline|t6|s42|tune,glue,bert-base-uncased,rte_wide,rte,baseline,tune,6,42,acc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.1;weight_decay=1e-05,128,cosine,max,0.0002,4,256,128,0.1,1e-05,56.68,90.3,0.10007,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|rte_wide|baseline|t7|s42|tune,glue,bert-base-uncased,rte_wide,rte,baseline,tune,7,42,acc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.28;weight_decay=0.0,64,cosine,max,0.001,2,128,128,0.28,0.0,58.12,88.95,0.27877,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|rte_wide|baseline|t8|s42|tune,glue,bert-base-uncased,rte_wide,rte,baseline,tune,8,42,acc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,64,cosine,max,0.0002,2,128,128,0.38,5e-05,54.87,91.54,0.37846,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|rte_wide|baseline|t9|s42|tune,glue,bert-base-uncased,rte_wide,rte,baseline,tune,9,42,acc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;scorer_hidden=128;tau_quantile=0.025;weight_decay=1e-05,128,cosine,cat,0.0002,2,512,128,0.025,1e-05,57.04,87.0,0.02494,0.00781,,,,,,,,,,,,,
