run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,feature_mode,gat_hidden_dim,graph_curvature,graph_metric,jk_mode,lr,num_layers,proj_dim,rho_quantile,scorer_hidden,weight_decay,score,elapsed_sec,mean_density,empty_frac,curvature,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|bert-base-uncased|rte_wide|A|t0|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,0,42,acc,feature_mode=center;gat_hidden_dim=128;graph_curvature=9.0;graph_metric=poincare;jk_mode=max;lr=0.001;num_layers=2;proj_dim=128;rho_quantile=0.2;scorer_hidden=256;weight_decay=0.0,center,128,9.0,poincare,max,0.001,2,128,0.2,256,0.0,48.74,134.83,0.197,0.0,,,,,
glue|bert-base-uncased|rte_wide|A|t1|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,1,42,acc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=2.25;graph_metric=poincare;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=128;rho_quantile=0.38;scorer_hidden=256;weight_decay=1e-05,center_unit,64,2.25,poincare,max,2e-05,4,128,0.38,256,1e-05,57.4,158.11,0.37793,0.0,,,,,
glue|bert-base-uncased|rte_wide|A|t2|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,2,42,acc,feature_mode=cls_root_unit;gat_hidden_dim=256;graph_curvature=4.0;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=128;rho_quantile=0.05;scorer_hidden=128;weight_decay=5e-05,cls_root_unit,256,4.0,poincare,cat,0.001,4,128,0.05,128,5e-05,51.62,154.79,0.05005,0.00391,,,,,
glue|bert-base-uncased|rte_wide|A|t3|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,3,42,acc,feature_mode=center;gat_hidden_dim=256;graph_curvature=4.0;graph_metric=poincare;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=256;weight_decay=0.0,center,256,4.0,poincare,max,2e-05,2,512,0.38,256,0.0,53.07,145.63,0.37586,0.0,,,,,
glue|bert-base-uncased|rte_wide|A|t4|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,4,42,acc,feature_mode=center;gat_hidden_dim=128;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=256;rho_quantile=0.1;scorer_hidden=128;weight_decay=0.0,center,128,9.0,poincare,cat,0.0002,2,256,0.1,128,0.0,55.96,134.94,0.09866,0.0,,,,,
glue|bert-base-uncased|rte_wide|A|t5|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,5,42,acc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=4.0;graph_metric=poincare;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=256;weight_decay=0.0,center_unit,64,4.0,poincare,max,2e-05,2,512,0.38,256,0.0,48.01,141.01,0.37799,0.0,,,,,
glue|bert-base-uncased|rte_wide|A|t6|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,6,42,acc,feature_mode=unit;gat_hidden_dim=128;graph_curvature=2.25;graph_metric=poincare;jk_mode=max;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.1;scorer_hidden=256;weight_decay=1e-05,unit,128,2.25,poincare,max,0.001,2,512,0.1,256,1e-05,52.71,179.83,0.09987,0.0,,,,,
glue|bert-base-uncased|rte_wide|A|t7|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,7,42,acc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=1.0;graph_metric=poincare;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=256;rho_quantile=0.2;scorer_hidden=128;weight_decay=0.0,center_unit,64,1.0,poincare,max,0.0002,4,256,0.2,128,0.0,59.93,161.25,0.19861,0.0,,,,,
glue|bert-base-uncased|rte_wide|A|t8|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,8,42,acc,feature_mode=cls_root_unit;gat_hidden_dim=256;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=128;rho_quantile=0.2;scorer_hidden=128;weight_decay=1e-05,cls_root_unit,256,0.25,poincare,cat,0.001,4,128,0.2,128,1e-05,48.74,154.81,0.19873,0.0,,,,,
glue|bert-base-uncased|rte_wide|A|t9|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,9,42,acc,feature_mode=center_unit;gat_hidden_dim=128;graph_curvature=4.0;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;rho_quantile=0.05;scorer_hidden=256;weight_decay=5e-05,center_unit,128,4.0,poincare,cat,2e-05,2,256,0.05,256,5e-05,55.6,118.9,0.04969,0.00391,,,,,
glue|bert-base-uncased|rte_wide|A|t10|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,10,42,acc,feature_mode=unit;gat_hidden_dim=128;graph_curvature=1.0;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.1;scorer_hidden=256;weight_decay=0.0,unit,128,1.0,poincare,cat,0.001,2,512,0.1,256,0.0,55.6,155.62,0.09911,0.0,,,,,
glue|bert-base-uncased|rte_wide|A|t11|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,11,42,acc,feature_mode=cls_root_unit;gat_hidden_dim=64;graph_curvature=0.25;graph_metric=poincare;jk_mode=max;lr=0.001;num_layers=2;proj_dim=128;rho_quantile=0.1;scorer_hidden=256;weight_decay=1e-05,cls_root_unit,64,0.25,poincare,max,0.001,2,128,0.1,256,1e-05,57.76,160.13,0.09953,0.0,,,,,
glue|bert-base-uncased|rte_wide|A|t12|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,12,42,acc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=4.0;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;rho_quantile=0.38;scorer_hidden=256;weight_decay=0.0,center_unit,64,4.0,poincare,cat,0.001,2,512,0.38,256,0.0,54.15,162.01,0.37886,0.0,,,,,
glue|bert-base-uncased|rte_wide|A|t13|s42|tune,glue,bert-base-uncased,rte_wide,rte,A,tune,13,42,acc,feature_mode=center_unit;gat_hidden_dim=256;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=0.0,center_unit,256,0.25,poincare,cat,2e-05,2,512,0.2,256,0.0,52.71,152.89,0.19869,0.0,,,,,
