run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,curvature,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn,tau,feature_mode,graph_curvature,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,rho_quantile
glue|bert-base-uncased|stsb_wide|baseline|t0|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,0,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.1;weight_decay=1e-05,128,cosine,cat,0.001,4,256,256,0.1,1e-05,80.19,199.36,0.20288,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|stsb_wide|baseline|t1|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,1,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.0125;weight_decay=1e-05,256,cosine,cat,2e-05,4,128,256,0.0125,1e-05,80.91,199.99,0.11239,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|stsb_wide|baseline|t2|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,2,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.2;weight_decay=0.0,128,cosine,max,0.0002,4,256,256,0.2,0.0,74.09,199.9,0.29835,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|stsb_wide|baseline|t3|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,3,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.15;weight_decay=0.0,128,cosine,cat,2e-05,4,128,128,0.15,0.0,80.58,196.76,0.24985,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|stsb_wide|baseline|t4|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,4,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=256;scorer_hidden=256;tau_quantile=0.1;weight_decay=1e-05,256,cosine,cat,0.0002,2,256,256,0.1,1e-05,82.59,194.98,0.2009,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|stsb_wide|baseline|t5|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,5,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.2;weight_decay=0.0,64,cosine,max,0.0002,2,128,128,0.2,0.0,66.89,195.94,0.2966,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|stsb_wide|baseline|t6|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,6,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.15;weight_decay=0.0,256,cosine,cat,0.0002,4,128,128,0.15,0.0,81.68,197.75,0.24926,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|stsb_wide|baseline|t7|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,7,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.15;weight_decay=0.0,256,cosine,max,0.001,2,128,128,0.15,0.0,74.81,192.13,0.24674,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|stsb_wide|baseline|t8|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,8,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=128;scorer_hidden=256;tau_quantile=0.15;weight_decay=5e-05,64,cosine,cat,2e-05,2,128,256,0.15,5e-05,79.8,194.91,0.24603,0.0,,,,,,,,,,,,,
glue|bert-base-uncased|stsb_wide|baseline|t9|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,9,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.05;weight_decay=1e-05,128,cosine,cat,2e-05,2,512,256,0.05,1e-05,80.52,197.73,0.15031,0.0,,,,,,,,,,,,,
