run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,curvature,gat_hidden_dim,graph_metric,hyperbolic_readout,jk_mode,learnable_curvature,lr,num_layers,proj_dim,readout_clip,readout_scale,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|bert-base-uncased|stsb_wide|B|t0|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,B,tune,0,42,spearman,curvature=1.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.001;num_layers=2;proj_dim=512;readout_clip=0.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.2;weight_decay=0.0,1.0,64,cosine,1,max,0,0.001,2,512,0.0,0,128,0.2,0.0,68.05,199.54,0.2966,0.0,,,,
glue|bert-base-uncased|stsb_wide|B|t1|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,B,tune,1,42,spearman,curvature=1.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.001;num_layers=4;proj_dim=256;readout_clip=0.3;readout_scale=1;scorer_hidden=256;tau_quantile=0.2;weight_decay=0.0,1.0,128,cosine,1,cat,0,0.001,4,256,0.3,1,256,0.2,0.0,76.81,197.96,0.29713,0.0,,,,
glue|bert-base-uncased|stsb_wide|B|t2|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,B,tune,2,42,spearman,curvature=0.25;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.0002;num_layers=4;proj_dim=256;readout_clip=0.0;readout_scale=1;scorer_hidden=256;tau_quantile=0.05;weight_decay=0.0,0.25,64,cosine,1,max,1,0.0002,4,256,0.0,1,256,0.05,0.0,70.07,198.86,0.14807,0.0,,,,
glue|bert-base-uncased|stsb_wide|B|t3|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,B,tune,3,42,spearman,curvature=0.25;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.0002;num_layers=2;proj_dim=128;readout_clip=0.7;readout_scale=1;scorer_hidden=128;tau_quantile=0.1;weight_decay=0.0,0.25,256,cosine,1,max,1,0.0002,2,128,0.7,1,128,0.1,0.0,77.38,195.06,0.19953,0.0,,,,
glue|bert-base-uncased|stsb_wide|B|t4|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,B,tune,4,42,spearman,curvature=0.25;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=2e-05;num_layers=4;proj_dim=128;readout_clip=1.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,0.25,128,cosine,1,max,1,2e-05,4,128,1.0,1,128,0.38,5e-05,56.93,201.75,0.47663,0.0,,,,
glue|bert-base-uncased|stsb_wide|B|t5|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,B,tune,5,42,spearman,curvature=1.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.0002;num_layers=4;proj_dim=512;readout_clip=0.7;readout_scale=1;scorer_hidden=128;tau_quantile=0.1;weight_decay=0.0,1.0,128,cosine,1,max,1,0.0002,4,512,0.7,1,128,0.1,0.0,74.37,201.46,0.20362,0.0,,,,
glue|bert-base-uncased|stsb_wide|B|t6|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,B,tune,6,42,spearman,curvature=4.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.001;num_layers=2;proj_dim=512;readout_clip=0.3;readout_scale=0;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,4.0,64,cosine,1,max,1,0.001,2,512,0.3,0,128,0.1,5e-05,66.82,195.14,0.20363,0.0,,,,
glue|bert-base-uncased|stsb_wide|B|t7|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,B,tune,7,42,spearman,curvature=1.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=2e-05;num_layers=2;proj_dim=256;readout_clip=0.7;readout_scale=0;scorer_hidden=256;tau_quantile=0.1;weight_decay=1e-05,1.0,128,cosine,1,cat,0,2e-05,2,256,0.7,0,256,0.1,1e-05,74.61,195.52,0.20276,0.0,,,,
glue|bert-base-uncased|stsb_wide|B|t8|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,B,tune,8,42,spearman,curvature=4.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=2e-05;num_layers=4;proj_dim=256;readout_clip=0.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.1;weight_decay=0.0,4.0,256,cosine,1,cat,1,2e-05,4,256,0.0,0,128,0.1,0.0,73.16,204.4,0.20196,0.0,,,,
glue|bert-base-uncased|stsb_wide|B|t9|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,B,tune,9,42,spearman,curvature=0.25;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=2e-05;num_layers=4;proj_dim=512;readout_clip=1.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.38;weight_decay=0.0,0.25,256,cosine,1,max,0,2e-05,4,512,1.0,1,128,0.38,0.0,68.28,200.7,0.47204,0.0,,,,
