run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac
glue|bert-base-uncased|stsb_wide|baseline|t0|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,0,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.15;weight_decay=0.0,64,cosine,cat,0.001,4,512,128,0.15,0.0,79.51,176.76,0.24603,0.0
glue|bert-base-uncased|stsb_wide|baseline|t1|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,1,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.2;weight_decay=5e-05,64,cosine,max,0.001,4,128,128,0.2,5e-05,69.2,178.04,0.29458,0.0
glue|bert-base-uncased|stsb_wide|baseline|t2|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,2,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.15;weight_decay=5e-05,64,cosine,max,0.0002,4,512,256,0.15,5e-05,68.81,177.49,0.24715,0.0
glue|bert-base-uncased|stsb_wide|baseline|t3|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,3,42,spearman,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.0375;weight_decay=1e-05,128,cosine,cat,0.001,4,512,128,0.0375,1e-05,79.52,175.32,0.13813,0.0
glue|bert-base-uncased|stsb_wide|baseline|t4|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,4,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=256;tau_quantile=0.0375;weight_decay=5e-05,64,cosine,cat,2e-05,2,256,256,0.0375,5e-05,79.81,172.37,0.13413,0.0
glue|bert-base-uncased|stsb_wide|baseline|t5|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,5,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.0125;weight_decay=5e-05,64,cosine,cat,0.0002,4,256,128,0.0125,5e-05,82.73,177.9,0.11004,0.0
glue|bert-base-uncased|stsb_wide|baseline|t6|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,6,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.1;weight_decay=0.0,64,cosine,max,2e-05,4,256,256,0.1,0.0,57.83,174.8,0.1991,0.0
glue|bert-base-uncased|stsb_wide|baseline|t7|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,7,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.025;weight_decay=0.0,64,cosine,cat,2e-05,4,512,256,0.025,0.0,80.28,177.37,0.12567,0.0
glue|bert-base-uncased|stsb_wide|baseline|t8|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,8,42,spearman,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.2;weight_decay=5e-05,256,cosine,max,2e-05,4,128,256,0.2,5e-05,70.04,173.4,0.29336,0.0
glue|bert-base-uncased|stsb_wide|baseline|t9|s42|tune,glue,bert-base-uncased,stsb_wide,stsb,baseline,tune,9,42,spearman,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.05;weight_decay=0.0,64,cosine,max,0.0002,4,256,256,0.05,0.0,70.94,178.44,0.14807,0.0
