run_key,backbone,model,hidden_layer,task,density,scale,seed,metric,score,mean_density,elapsed_sec
bert_final|cola|abs06|none|s1,bert_final,bert-base-uncased,-1,cola,abs06,none,1,mcc,45.84,0.09815,259.64
bert_final|cola|abs06|none|s2,bert_final,bert-base-uncased,-1,cola,abs06,none,2,mcc,45.29,0.10038,217.16
bert_final|cola|abs06|none|s3,bert_final,bert-base-uncased,-1,cola,abs06,none,3,mcc,46.68,0.09991,239.85
bert_final|cola|abs06|none|s4,bert_final,bert-base-uncased,-1,cola,abs06,none,4,mcc,43.86,0.09368,267.05
bert_final|cola|abs06|none|s5,bert_final,bert-base-uncased,-1,cola,abs06,none,5,mcc,44.6,0.10247,245.85
bert_final|cola|abs06|median|s1,bert_final,bert-base-uncased,-1,cola,abs06,median,1,mcc,46.12,0.09815,284.33
bert_final|cola|abs06|median|s2,bert_final,bert-base-uncased,-1,cola,abs06,median,2,mcc,44.98,0.10038,254.93
bert_final|cola|abs06|median|s3,bert_final,bert-base-uncased,-1,cola,abs06,median,3,mcc,45.86,0.09991,289.87
bert_final|cola|abs06|median|s4,bert_final,bert-base-uncased,-1,cola,abs06,median,4,mcc,43.29,0.09368,260.32
bert_final|cola|abs06|median|s5,bert_final,bert-base-uncased,-1,cola,abs06,median,5,mcc,44.66,0.10247,281.7
bert_final|cola|abs06|rms|s1,bert_final,bert-base-uncased,-1,cola,abs06,rms,1,mcc,46.41,0.09815,252.78
bert_final|cola|abs06|rms|s2,bert_final,bert-base-uncased,-1,cola,abs06,rms,2,mcc,44.24,0.10038,246.68
bert_final|cola|abs06|rms|s3,bert_final,bert-base-uncased,-1,cola,abs06,rms,3,mcc,46.62,0.09991,226.95
bert_final|cola|abs06|rms|s4,bert_final,bert-base-uncased,-1,cola,abs06,rms,4,mcc,44.11,0.09368,245.62
bert_final|cola|abs06|rms|s5,bert_final,bert-base-uncased,-1,cola,abs06,rms,5,mcc,43.66,0.10247,252.64
bert_final|cola|q05|none|s1,bert_final,bert-base-uncased,-1,cola,q05,none,1,mcc,47.48,0.04899,807.48
bert_final|cola|q05|none|s2,bert_final,bert-base-uncased,-1,cola,q05,none,2,mcc,44.52,0.04985,791.3
bert_final|cola|q05|none|s3,bert_final,bert-base-uncased,-1,cola,q05,none,3,mcc,45.55,0.04942,717.75
bert_final|cola|q05|none|s4,bert_final,bert-base-uncased,-1,cola,q05,none,4,mcc,42.86,0.04945,923.18
bert_final|cola|q05|none|s5,bert_final,bert-base-uncased,-1,cola,q05,none,5,mcc,44.6,0.05031,998.65
bert_final|cola|q05|median|s1,bert_final,bert-base-uncased,-1,cola,q05,median,1,mcc,46.39,0.04957,1073.65
bert_final|cola|q05|median|s2,bert_final,bert-base-uncased,-1,cola,q05,median,2,mcc,44.8,0.04978,833.14
bert_final|cola|q05|median|s3,bert_final,bert-base-uncased,-1,cola,q05,median,3,mcc,45.56,0.04957,774.45
bert_final|cola|q05|median|s4,bert_final,bert-base-uncased,-1,cola,q05,median,4,mcc,43.97,0.04943,719.48
bert_final|cola|q05|median|s5,bert_final,bert-base-uncased,-1,cola,q05,median,5,mcc,44.66,0.05027,713.07
bert_final|cola|q05|rms|s1,bert_final,bert-base-uncased,-1,cola,q05,rms,1,mcc,46.41,0.04928,713.65
bert_final|cola|q05|rms|s2,bert_final,bert-base-uncased,-1,cola,q05,rms,2,mcc,44.28,0.04963,357.19
bert_final|cola|q05|rms|s3,bert_final,bert-base-uncased,-1,cola,q05,rms,3,mcc,45.88,0.04996,733.61
bert_final|cola|q05|rms|s4,bert_final,bert-base-uncased,-1,cola,q05,rms,4,mcc,43.14,0.04952,482.15
bert_final|cola|q05|rms|s5,bert_final,bert-base-uncased,-1,cola,q05,rms,5,mcc,45.43,0.05034,543.5
