run_key,backbone,model,hidden_layer,task,density,scale,seed,metric,score,mean_density,elapsed_sec
roberta_final|cola|abs06|none|s1,roberta_final,roberta-base,-1,cola,abs06,none,1,mcc,53.8,0.99086,118.45
roberta_final|cola|abs06|none|s2,roberta_final,roberta-base,-1,cola,abs06,none,2,mcc,53.32,0.99161,119.28
roberta_final|cola|abs06|none|s3,roberta_final,roberta-base,-1,cola,abs06,none,3,mcc,49.6,0.9879,120.1
roberta_final|cola|abs06|none|s4,roberta_final,roberta-base,-1,cola,abs06,none,4,mcc,54.96,0.98898,119.09
roberta_final|cola|abs06|none|s5,roberta_final,roberta-base,-1,cola,abs06,none,5,mcc,50.29,0.99124,116.78
roberta_final|cola|abs06|median|s1,roberta_final,roberta-base,-1,cola,abs06,median,1,mcc,53.11,0.99086,119.54
roberta_final|cola|abs06|median|s2,roberta_final,roberta-base,-1,cola,abs06,median,2,mcc,53.43,0.99161,118.7
roberta_final|cola|abs06|median|s3,roberta_final,roberta-base,-1,cola,abs06,median,3,mcc,51.29,0.9879,118.76
roberta_final|cola|abs06|median|s4,roberta_final,roberta-base,-1,cola,abs06,median,4,mcc,54.06,0.98898,118.05
roberta_final|cola|abs06|median|s5,roberta_final,roberta-base,-1,cola,abs06,median,5,mcc,50.82,0.99124,118.3
roberta_final|cola|abs06|rms|s1,roberta_final,roberta-base,-1,cola,abs06,rms,1,mcc,52.9,0.99086,121.06
roberta_final|cola|abs06|rms|s2,roberta_final,roberta-base,-1,cola,abs06,rms,2,mcc,53.64,0.99161,118.83
roberta_final|cola|abs06|rms|s3,roberta_final,roberta-base,-1,cola,abs06,rms,3,mcc,51.02,0.9879,118.91
roberta_final|cola|abs06|rms|s4,roberta_final,roberta-base,-1,cola,abs06,rms,4,mcc,54.32,0.98898,119.68
roberta_final|cola|abs06|rms|s5,roberta_final,roberta-base,-1,cola,abs06,rms,5,mcc,50.86,0.99124,120.07
roberta_final|cola|q05|none|s1,roberta_final,roberta-base,-1,cola,q05,none,1,mcc,53.43,0.05138,125.99
roberta_final|cola|q05|none|s2,roberta_final,roberta-base,-1,cola,q05,none,2,mcc,53.51,0.05095,124.91
roberta_final|cola|q05|none|s3,roberta_final,roberta-base,-1,cola,q05,none,3,mcc,51.52,0.05079,125.41
roberta_final|cola|q05|none|s4,roberta_final,roberta-base,-1,cola,q05,none,4,mcc,53.68,0.05109,123.9
roberta_final|cola|q05|none|s5,roberta_final,roberta-base,-1,cola,q05,none,5,mcc,52.2,0.05087,124.98
roberta_final|cola|q05|median|s1,roberta_final,roberta-base,-1,cola,q05,median,1,mcc,53.5,0.05087,125.19
roberta_final|cola|q05|median|s2,roberta_final,roberta-base,-1,cola,q05,median,2,mcc,53.9,0.05166,125.04
roberta_final|cola|q05|median|s3,roberta_final,roberta-base,-1,cola,q05,median,3,mcc,50.4,0.05065,125.44
roberta_final|cola|q05|median|s4,roberta_final,roberta-base,-1,cola,q05,median,4,mcc,53.36,0.05114,126.25
roberta_final|cola|q05|median|s5,roberta_final,roberta-base,-1,cola,q05,median,5,mcc,52.42,0.05116,124.8
roberta_final|cola|q05|rms|s1,roberta_final,roberta-base,-1,cola,q05,rms,1,mcc,53.45,0.05068,125.35
roberta_final|cola|q05|rms|s2,roberta_final,roberta-base,-1,cola,q05,rms,2,mcc,53.87,0.05066,125.34
roberta_final|cola|q05|rms|s3,roberta_final,roberta-base,-1,cola,q05,rms,3,mcc,50.79,0.05093,125.83
roberta_final|cola|q05|rms|s4,roberta_final,roberta-base,-1,cola,q05,rms,4,mcc,53.62,0.05091,124.26
roberta_final|cola|q05|rms|s5,roberta_final,roberta-base,-1,cola,q05,rms,5,mcc,51.4,0.05077,125.74
