timestamp,run_tag,model,task,arm,pooling,graph_metric,graph_adj,hyperbolic_gnn,hyperbolic_readout,distractor_ratio,relational_distance,signal_position,tau,rho,curvature,knn_k,num_layers,epochs,batch_size,lr,seed,acc
2026-08-18 08:29:51,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.958
2026-08-18 08:30:38,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.952
2026-08-18 08:31:25,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.964
2026-08-18 08:32:13,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.962
2026-08-18 08:33:00,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.962
2026-08-18 08:33:54,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.926
2026-08-18 08:34:48,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.814
2026-08-18 08:35:44,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.924
2026-08-18 08:36:40,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.91
2026-08-18 08:37:35,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.936
2026-08-18 08:38:43,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.898
2026-08-18 08:39:52,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.822
2026-08-18 08:41:02,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.95
2026-08-18 08:42:11,stress_followup,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.868
