timestamp,run_tag,model,task,arm,pooling,graph_metric,graph_adj,hyperbolic_gnn,hyperbolic_readout,distractor_ratio,relational_distance,signal_position,tau,rho,curvature,knn_k,num_layers,epochs,batch_size,lr,seed,acc
2026-08-28 23:11:36,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.958
2026-08-28 23:12:58,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.952
2026-08-28 23:14:30,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.964
2026-08-28 23:15:54,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.962
2026-08-28 23:17:25,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.962
2026-08-28 23:19:01,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.926
2026-08-28 23:20:42,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.814
2026-08-28 23:22:24,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.924
2026-08-28 23:23:53,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.91
2026-08-28 23:25:30,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.934
2026-08-28 23:27:21,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.898
2026-08-28 23:29:16,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.828
2026-08-28 23:31:06,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.95
2026-08-28 23:32:57,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.868
2026-08-28 23:35:19,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.868
2026-08-28 23:37:18,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.884
2026-08-28 23:39:37,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.714
2026-08-28 23:41:37,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.87
2026-08-28 23:43:38,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.648
2026-08-28 23:45:37,stress_poolers,bert-base-uncased,stress,glot,glot,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.868
2026-08-28 23:46:49,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.708
2026-08-28 23:48:02,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.724
2026-08-28 23:49:17,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.684
2026-08-28 23:50:17,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.684
2026-08-28 23:51:13,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.7
2026-08-28 23:52:31,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.582
2026-08-28 23:54:16,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.624
2026-08-28 23:55:28,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.62
2026-08-28 23:56:50,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.59
2026-08-28 23:58:14,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.654
2026-08-28 23:59:24,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.572
2026-08-29 00:00:44,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.642
2026-08-29 00:02:12,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.606
2026-08-29 00:03:34,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.652
2026-08-29 00:04:56,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.632
2026-08-29 00:06:27,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.676
2026-08-29 00:07:56,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.656
2026-08-29 00:09:17,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.63
2026-08-29 00:10:54,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.63
2026-08-29 00:12:14,stress_poolers,bert-base-uncased,stress,cls,cls,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.678
2026-08-29 00:13:20,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.68
2026-08-29 00:14:27,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.754
2026-08-29 00:15:21,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.736
2026-08-29 00:16:11,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.748
2026-08-29 00:17:09,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.756
2026-08-29 00:18:52,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.586
2026-08-29 00:20:20,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.64
2026-08-29 00:21:46,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.664
2026-08-29 00:23:30,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.572
2026-08-29 00:25:05,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.696
2026-08-29 00:27:47,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.642
2026-08-29 00:29:16,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.664
2026-08-29 00:31:38,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.642
2026-08-29 00:33:16,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.622
2026-08-29 00:35:13,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.632
2026-08-29 00:37:11,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.534
2026-08-29 00:38:46,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.614
2026-08-29 00:40:39,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.55
2026-08-29 00:41:52,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.58
2026-08-29 00:43:52,stress_poolers,bert-base-uncased,stress,mean,mean,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.592
2026-08-29 00:45:44,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.574
2026-08-29 00:47:30,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.664
2026-08-29 00:48:34,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.63
2026-08-29 00:50:15,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.65
2026-08-29 00:51:48,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.632
2026-08-29 00:53:22,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.508
2026-08-29 00:54:51,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.584
2026-08-29 00:57:17,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.556
2026-08-29 00:59:25,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.564
2026-08-29 01:00:59,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.546
2026-08-29 01:02:39,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.516
2026-08-29 01:04:49,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.518
2026-08-29 01:06:53,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.53
2026-08-29 01:08:31,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.562
2026-08-29 01:10:10,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.53
2026-08-29 01:11:18,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.504
2026-08-29 01:13:50,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.556
2026-08-29 01:16:10,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.514
2026-08-29 01:17:24,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.528
2026-08-29 01:19:37,stress_poolers,bert-base-uncased,stress,max,max,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.488
2026-08-29 01:21:41,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.956
2026-08-29 01:23:26,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.968
2026-08-29 01:24:42,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.948
2026-08-29 01:25:44,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.934
2026-08-29 01:26:39,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.95
2026-08-29 01:28:39,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.926
2026-08-29 01:31:10,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.87
2026-08-29 01:33:32,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.936
2026-08-29 01:34:30,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.918
2026-08-29 01:37:15,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.892
2026-08-29 01:38:58,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.934
2026-08-29 01:40:15,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.792
2026-08-29 01:43:00,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.878
2026-08-29 01:44:26,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.914
2026-08-29 01:46:10,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.806
2026-08-29 01:48:49,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.902
2026-08-29 01:51:24,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,1,0.772
2026-08-29 01:52:37,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,2,0.882
2026-08-29 01:54:18,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,3,0.902
2026-08-29 01:56:37,stress_poolers,bert-base-uncased,stress,adapool,adapool,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,4,0.722
2026-08-29 01:57:53,stress_poolers,bert-base-uncased,stress,glot_K0,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,0,3,32,0.0001,0,0.942
2026-08-29 01:59:32,stress_poolers,bert-base-uncased,stress,glot_K0,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,0,3,32,0.0001,1,0.946
2026-08-29 02:01:47,stress_poolers,bert-base-uncased,stress,glot_K0,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,0,3,32,0.0001,2,0.974
2026-08-29 02:04:00,stress_poolers,bert-base-uncased,stress,glot_K0,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,0,3,32,0.0001,3,0.948
2026-08-29 02:06:09,stress_poolers,bert-base-uncased,stress,glot_K0,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,0,3,32,0.0001,4,0.974
2026-08-29 02:08:19,stress_poolers,bert-base-uncased,stress,glot_K0,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,0,3,32,0.0001,0,0.924
2026-08-29 02:09:52,stress_poolers,bert-base-uncased,stress,glot_K0,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,0,3,32,0.0001,1,0.912
2026-08-29 02:12:10,stress_poolers,bert-base-uncased,stress,glot_K0,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,0,3,32,0.0001,2,0.96
2026-08-29 02:13:41,stress_poolers,bert-base-uncased,stress,glot_K0,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,0,3,32,0.0001,3,0.866
2026-08-29 02:15:47,stress_poolers,bert-base-uncased,stress,glot_K0,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,0,3,32,0.0001,4,0.886
2026-08-29 02:17:13,stress_poolers,bert-base-uncased,stress,glot_K0,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,0,3,32,0.0001,0,0.926
